Unnamed: 0,title,date,stock,sentiment
1002876.0,"Oppenheimer Maintains Outperform on Pfenex, Raises Price Target to $10",2020-06-01 11:52:00-04:00,PFNX,neutral
1002877.0,"SunTrust Robinson Humphrey Maintains Buy on Pfenex, Lowers Price Target to $13",2020-05-12 09:23:00-04:00,PFNX,negative
1002878.0,"Pfenex Q1 EPS $(0.310) Misses $(0.240) Estimate, Sales $682.000K Down From $7.862M YoY",2020-05-07 16:57:00-04:00,PFNX,negative
1002879.0,"The Daily Biotech Pulse: FDA Approves Novartis Lung Cancer Drug, 2-Way Contest Emerging For Tetraphase Pharma, Dexcom To Join S&P 500",2020-05-07 07:41:00-04:00,PFNX,negative
1002880.0,The Week Ahead In Biotech: Smid-Cap Earnings News Flow Picks Up Pace,2020-05-03 08:45:00-04:00,PFNX,neutral
1002881.0,"Oppenheimer Initiates Coverage On Pfenex with Outperform Rating, Announces Price Target to $9",2020-04-23 06:27:00-04:00,PFNX,neutral
1002882.0,70 Biggest Movers From Yesterday,2020-04-16 04:38:00-04:00,PFNX,neutral
1002883.0,Mid-Afternoon Market Update: Dow Falls 1.5%; Pfenex Shares Plummet,2020-04-15 14:37:00-04:00,PFNX,positive
1002884.0,50 Stocks Moving In Wednesday's Mid-Day Session,2020-04-15 12:35:00-04:00,PFNX,neutral
1002885.0,Mid-Day Market Update: Crude Oil Down 3%; Applied DNA Sciences Shares Jump,2020-04-15 12:01:00-04:00,PFNX,negative
1002886.0,Morning Market Stats in 5 Minutes,2020-04-15 10:10:00-04:00,PFNX,neutral
1002887.0,"The Daily Biotech Pulse: Applied DNA Ships Vaccine Constructs For Animal Testing, Herceptin Biosimilar Now Available In US",2020-04-15 08:03:00-04:00,PFNX,neutral
1002888.0,Pfenex Reports FDA Has Requested Added Comparative Use Human Factors Data In Order To Complete PF708 Determination,2020-04-14 17:06:00-04:00,PFNX,positive
1002889.0,"Pfenex FY19 EPS $0.03 Up From $(1.4) YoY, Sales $50.326M Up From $14.857M YoY",2020-03-11 16:16:00-04:00,PFNX,neutral
1002890.0,"The Daily Biotech Pulse: NY State Endorses Mallinckrodt's Opioid Settlement, Kamada To Work On COVID-19 Treatment",2020-03-11 08:03:00-04:00,PFNX,positive
1002891.0,"Earnings Scheduled For March 11, 2020",2020-03-11 04:28:00-04:00,PFNX,neutral
1002892.0,"The Week Ahead In Biotech (March 8-14): Bristol-Myers Awaits FDA Nod For Liver Cancer Combo Therapy, Earnings Flow Continues",2020-03-08 16:14:00-04:00,PFNX,negative
1002893.0,"SunTrust Robinson Humphrey Initiates Coverage On Pfenex with Buy Rating, Announces $18 Price Target",2020-02-14 08:44:00-05:00,PFNX,neutral
1002894.0,44 Stocks Moving in Thursday's Pre-Market Session,2020-02-06 07:26:00-05:00,PFNX,neutral
1002895.0,82 Biggest Movers From Yesterday,2020-01-22 04:18:00-05:00,PFNX,neutral
1002896.0,Pfenex Earns $15M Development Milestone Under Its Development And License Agreement With Jazz Pharmaceuticals,2019-12-18 08:10:00-05:00,PFNX,positive
1002897.0,"The Daily Biotech Pulse: Amarin Braces For Vascepa Adcom Verdict, Biotechs On A Fundraising Spree, Zosano Makes Progress With Migraine Drug Filing",2019-11-14 08:07:00-05:00,PFNX,positive
1002898.0,Pfenex Reports CFO Susan Knudson Resigned; Co. Conducting Search For Successor,2019-11-13 16:40:00-05:00,PFNX,neutral
1002899.0,"Pfenex Q3 EPS $0.09 Beats $(0.04) Estimate, Sales $15.248M Beat $9.57M Estimate",2019-11-07 16:07:00-05:00,PFNX,neutral
