Unnamed: 0,title,date,stock,sentiment
1023996.0,"KeyBanc Maintains Overweight on Pool, Raises Price Target to $300",2020-06-02 04:50:00-04:00,POOL,negative
1023997.0,Stocks That Hit 52-Week Highs On Monday,2020-06-01 10:41:00-04:00,POOL,neutral
1023998.0,Stocks That Hit 52-Week Highs On Thursday,2020-05-28 10:39:00-04:00,POOL,neutral
1023999.0,"CFRA Maintains Strong Buy on Pool, Raises Price Target to $275",2020-05-27 10:33:00-04:00,POOL,positive
1024000.0,Stocks That Hit 52-Week Highs On Tuesday,2020-05-26 10:32:00-04:00,POOL,neutral
1024001.0,"KeyBanc Maintains Overweight on Pool, Raises Price Target to $250",2020-05-19 06:10:00-04:00,POOL,negative
1024002.0,"Stephens & Co. Maintains Equal-Weight on Pool, Raises Price Target to $205",2020-04-27 13:39:00-04:00,POOL,neutral
1024003.0,"KeyBanc Maintains Overweight on Pool, Raises Price Target to $225",2020-04-24 06:20:00-04:00,POOL,negative
1024004.0,Pool Corporation Cuts FY20 Adj. EPS Guidance From $6.47-$6.77 To $5.45-$6.05 vs $5.40 Est.,2020-04-23 07:09:00-04:00,POOL,negative
1024005.0,"Pool Q1 Adj. EPS $0.710 Beats $0.650 Estimate, Sales $677.290M Beat $628.680M Estimate",2020-04-23 07:07:00-04:00,POOL,neutral
1024006.0,"Earnings Scheduled For April 23, 2020",2020-04-23 04:23:00-04:00,POOL,neutral
1024007.0,"KeyBanc Upgrades Pool to Overweight, Announces $210 Price Target",2020-03-18 05:46:00-04:00,POOL,negative
1024008.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-19 10:32:00-05:00,POOL,neutral
1024009.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-18 11:03:00-05:00,POOL,neutral
1024010.0,"Stephens & Co. Maintains Equal-Weight on Pool, Raises Price Target to $228",2020-02-18 06:53:00-05:00,POOL,neutral
1024011.0,Pool Sees FY20 EPS $6.40-$6.77 Vs. $6.71 Est.,2020-02-13 07:34:00-05:00,POOL,neutral
1024012.0,"Pool Q4 EPS $0.44 Beats $0.36 Estimate, Sales $582.234M Beat $581.94M Estimate",2020-02-13 07:33:00-05:00,POOL,neutral
1024013.0,"Earnings Scheduled For February 13, 2020",2020-02-13 04:27:00-05:00,POOL,neutral
1024014.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-12 11:45:00-05:00,POOL,neutral
1024015.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,POOL,neutral
1024016.0,"Benzinga's Top Upgrades, Downgrades For January 7, 2020",2020-01-07 11:17:00-05:00,POOL,positive
1024017.0,"Loop Capital Initiates Coverage On Pool with Hold Rating, Announces $227 Price Target",2020-01-07 08:35:00-05:00,POOL,neutral
1024018.0,'We Expect Accelerated Growth': Lake Street Sees Perfect Cannabis Play In GrowGeneration,2019-10-28 17:52:00-04:00,POOL,positive
1024019.0,"Baird Maintains Outperform on Pool, Raises Price Target to $230",2019-10-18 09:26:00-04:00,POOL,neutral
1024020.0,Stocks That Hit 52-Week Highs On Thursday,2019-10-17 11:00:00-04:00,POOL,neutral
1024021.0,Pool Corporation Narrows FY19 EPS Guidance From $6.09-$6.34 To $6.20 To $6.40 vs $6.22 Est.,2019-10-17 07:04:00-04:00,POOL,neutral
1024022.0,"Pool Q3 EPS $1.95 Beats $1.78 Estimate, Sales $898.5M Beat $883.55M Estimate",2019-10-17 07:03:00-04:00,POOL,neutral
1024023.0,"Earnings Scheduled For October 17, 2019",2019-10-17 04:36:00-04:00,POOL,neutral
1024024.0,Stocks That Hit 52-Week Highs On Friday,2019-10-11 10:18:00-04:00,POOL,neutral
1024025.0,"Stephens & Co. Reiterates Equal-Weight on Pool, Raises Price Target to $196",2019-09-23 09:35:00-04:00,POOL,neutral
1024026.0,Stocks That Hit 52-Week Highs On Friday,2019-09-06 12:23:00-04:00,POOL,neutral
1024027.0,Stocks That Hit 52-Week Highs On Thursday,2019-09-05 12:29:00-04:00,POOL,neutral
1024028.0,"Benzinga's Top Upgrades, Downgrades For August 23, 2019",2019-08-23 09:56:00-04:00,POOL,positive
1024029.0,"Sidoti & Co. Downgrades Pool to Neutral, Announces $215 Price Target",2019-08-23 09:04:00-04:00,POOL,neutral
1024030.0,Stocks That Set New 52-Week Highs Thursday,2019-08-08 12:19:00-04:00,POOL,neutral
1024031.0,Pool Corporation Narrows FY19 EPS Guidance From from $6.09-$6.39 To $6.09-$6.34 vs $6.24 Est.,2019-07-18 07:05:00-04:00,POOL,neutral
1024032.0,"Pool Q2 EPS $3.22 Misses $3.23 Estimate, Sales $1.12B Miss $1.16B Estimate",2019-07-18 07:04:00-04:00,POOL,negative
1024033.0,"Earnings Scheduled For July 18, 2019",2019-07-18 04:28:00-04:00,POOL,neutral
1024034.0,"UPDATE: Sidoti & Co. On Pool Corporation Notes 'we still expect solid top- and bottom-line gains through 2021, as we anticipate POOL will continue to profit from its attractive recurring revenue stream tied to maintenance of existing pools'",2019-07-02 11:28:00-04:00,POOL,positive
