Unnamed: 0,title,date,stock,sentiment
1027137.0,"Shares of several consumer staple companies are trading higher on continued upward momentum surrounding the economy reopening, which would increase consumer spending and economic activity. New York City moved into phase one of its reopening plan on Monday.",2020-06-08 11:34:00-04:00,PPC,positive
1027138.0,"Pilgrims Pride Corp shares are trading higher, rebounding after following on Wednesday after it was reported the DOJ has indicted the company's CEO for price fixing",2020-06-04 09:23:00-04:00,PPC,positive
1027139.0,Pilgrims Pride Responds to Report of CEO Indictment,2020-06-04 06:23:00-04:00,PPC,positive
1027140.0,85 Biggest Movers From Yesterday,2020-06-04 05:02:00-04:00,PPC,neutral
1027141.0,Shares of poultry producers are trading lower after it was reported Pilgrims Pride CEO has been indicted on price fixing charges.,2020-06-03 14:04:00-04:00,PPC,positive
1027142.0,Watching Pilgrim's Pride Shares As Hearing Company Was Downgraded To Equal Weight From Overweight At Stephens BZ NOTE: Shares Still Affected By Earlier Story CEO Was Indicted On Price Fixing Charges,2020-06-03 13:47:00-04:00,PPC,positive
1027143.0,Pilgrim's Pride Falls After Chicken Companies Are Charged With Price Fixing,2020-06-03 13:37:00-04:00,PPC,positive
1027144.0,"Pilgrim's Pride Shares Resumed Trading, Were Halted On Volatility After Report CEO Has Been Indicted On Price Fixing Charges, Shares Now Down 10%",2020-06-03 12:47:00-04:00,PPC,positive
1027145.0,UPDATE: Cases Are First Charges In Ongoing Justice Department Probe,2020-06-03 12:38:00-04:00,PPC,positive
1027146.0,"Chicken Industry Executives, Including Pilgrim's Pride CEO, Indicted For Price Fixing",2020-06-03 12:37:00-04:00,PPC,positive
1027147.0,Hearing Stephens Upgrades Pilgrim's Pride From Equal-Weight To Overweight,2020-05-11 09:05:00-04:00,PPC,neutral
1027148.0,US Agriculture Secretary Perdue Says Meat Processing Plants Will Be Fully Back Up In A Week To 10 Days,2020-05-06 15:32:00-04:00,PPC,neutral
1027149.0,"Pilgrims Pride Q1 EPS $0.270 Beats $0.170 Estimate, Sales $3.074B Beat $3.010B Estimate",2020-04-29 17:12:00-04:00,PPC,positive
1027150.0,"South Dakota Governor Says Believes Smithfield's Sioux Falls Pork Processing Plant Can Reopen 'Really Quickly,' Could Be In 'Days'",2020-04-27 09:29:00-04:00,PPC,neutral
1027151.0,"Meat Processor Union SAys US Meat Plant Closures Equal 10% Of Beef, 25% Of Pork",2020-04-23 14:59:00-04:00,PPC,neutral
1027152.0,Pork Producers Council Says US Hog Farmers Expected To Lose $5B This Year Amid Coronavirus Disruptions,2020-04-14 14:08:00-04:00,PPC,negative
1027153.0,"Barclays Maintains Overweight on Pilgrims Pride, Lowers Price Target to $28",2020-03-31 08:38:00-04:00,PPC,negative
1027154.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,PPC,negative
1027155.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,PPC,negative
1027156.0,"Stephens & Co. Reiterates Equal-Weight on Pilgrims Pride, Lowers Price Target to $27",2020-02-24 07:20:00-05:00,PPC,positive
1027157.0,"CFRA Downgrades Pilgrims Pride to Buy, Lowers Price Target to $30",2020-02-21 12:20:00-05:00,PPC,positive
1027158.0,"Pilgrims Pride Q4 GAAP EPS $0.37 May Not Compare To $0.25 Estimate, Adj. EBITDA $161.6M, Sales $3.06B Beat $2.92B Estimate",2020-02-20 17:55:00-05:00,PPC,positive
1027159.0,"Earnings Scheduled For February 20, 2020",2020-02-20 04:17:00-05:00,PPC,neutral
1027160.0,33 Consumer Defensive Stocks Moving In Monday's Session,2020-01-27 12:47:00-05:00,PPC,neutral
1027161.0,9 Packaged Foods Stocks Moving In Monday's Session,2020-01-27 12:30:00-05:00,PPC,neutral
1027162.0,"Benzinga's Top Upgrades, Downgrades For January 16, 2020",2020-01-16 10:01:00-05:00,PPC,positive
1027163.0,"Stephens & Co. Downgrades Pilgrims Pride to Equal-Weight, Announces $35 Price Target",2020-01-16 06:59:00-05:00,PPC,positive
1027164.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-14 10:09:00-05:00,PPC,neutral
1027165.0,"Pilgrim's Pride Corporation Q3 Adj. EPS $0.45, Inline, Sales $2.778B Beat $2.76B Estimate",2019-10-30 17:54:00-04:00,PPC,positive
1027166.0,"Earnings Scheduled For October 30, 2019",2019-10-30 03:39:00-04:00,PPC,neutral
1027167.0,Shares of poultry companies are trading higher after China agreed to lift a ban on US poultry exports as part of the 'phase one' trade deal between the two countries.,2019-10-28 14:53:00-04:00,PPC,negative
1027168.0,Pilgrims Pride shares are trading higher on continued momentum after the stock increased roughly 88% since the beginning of the year.,2019-10-28 10:02:00-04:00,PPC,positive
1027169.0,"Bank of America Initiates Coverage On Pilgrims Pride with Neutral Rating, Announces $32 Price Target",2019-10-25 08:04:00-04:00,PPC,positive
1027170.0,Stocks That Hit 52-Week Highs On Monday,2019-09-09 12:43:00-04:00,PPC,neutral
1027171.0,Stocks That Hit 52-Week Highs On Wednesday,2019-09-04 11:02:00-04:00,PPC,neutral
1027172.0,"Pilgrim's Pride Shares Down 1% After Hours, Potentially In Sympathy With Tyson Following Warning",2019-09-03 16:19:00-04:00,PPC,positive
1027173.0,"BMO Upgrades Pilgrims Pride, Declares 'Winner Winner Chicken Dinner'",2019-08-20 13:42:00-04:00,PPC,positive
1027174.0,Pilgrims Pride shares are trading higher after BMO Capital upgraded the stock from Market Perform to Outperform and raised the price target from $31 to $36.,2019-08-20 09:40:00-04:00,PPC,positive
1027175.0,"Benzinga's Top Upgrades, Downgrades For August 20, 2019",2019-08-20 09:33:00-04:00,PPC,positive
1027176.0,"UPDATE: BMO Upgrades Pilgrims Pride To Outperform, Raises Target To $36 As Firm Notes 'We base our upgrade on our view that an underlying fundamental recovery coupled with internal actions should create an acceleration in earnings power'",2019-08-20 09:18:00-04:00,PPC,positive
1027177.0,10 Biggest Price Target Changes For Tuesday,2019-08-20 09:08:00-04:00,PPC,neutral
1027178.0,"BMO Capital Upgrades Pilgrims Pride to Outperform, Raises Price Target to $36",2019-08-20 06:46:00-04:00,PPC,positive
1027179.0,"Mizuho Maintains Buy on Pilgrims Pride, Raises Price Target to $34",2019-08-02 12:05:00-04:00,PPC,positive
1027180.0,"Pilgrims Pride Q2 Adj. EPS $0.69 Beats $0.62 Estimate, Sales $2.843B Miss $2.88B Estimate",2019-07-31 18:23:00-04:00,PPC,positive
1027181.0,"Earnings Scheduled For July 31, 2019",2019-07-31 04:03:00-04:00,PPC,neutral
1027182.0,"Fourth Of July Pop, Boom, And Sparkle: Summer Seasonal Stocks To Consider",2019-07-02 12:38:00-04:00,PPC,positive
1027183.0,DOJ Investigates Poultry Processors Over Price-Fixing Allegations,2019-06-25 15:48:00-04:00,PPC,neutral
1027184.0,"Tyson, Pilgrim's Pride Shares Dip On Volume Amid Report US Is Investigating Claims Of Poultry-Price Fixing At Cos.",2019-06-25 14:25:00-04:00,PPC,positive
1027185.0,"Pilgrims Pride Q1 Adj. EPS $0.35, Inline, Sales $2.72B Miss $2.74B Estimate",2019-05-01 18:09:00-04:00,PPC,positive
1027186.0,"'China eyes U.S. poultry, pork imports in trade talks'; Watching US Poultry, Other Met Processors",2019-04-16 12:14:00-04:00,PPC,neutral
1027187.0,"Pilgrim's Pride Reports Bill Lovette To Retire As Pres, CEO; Jayson Penn Named Replacement",2019-03-22 09:33:00-04:00,PPC,positive
1027188.0,Shares of food sector stocks are trading higher after Conagra Brands reported better-than-expected Q3 EPS.,2019-03-21 12:56:00-04:00,PPC,positive
1027189.0,'Study Links Eggs to Higher Cholesterol and Risk of Heart Disease' -WSJ,2019-03-15 11:10:00-04:00,PPC,negative
1027190.0,"Benzinga's Top Upgrades, Downgrades For March 5, 2019",2019-03-05 09:12:00-05:00,PPC,positive
1027191.0,"Stephens & Co. Initiates Coverage On Pilgrims Pride with Overweight Rating, Announces $26 Price Target",2019-03-05 07:44:00-05:00,PPC,neutral
1027192.0,"Pilgrims Pride Q4 EPS $0.09 Misses $0.13 Estimate, Sales $2.66B Beat $2.63B Estimate",2019-02-13 17:11:00-05:00,PPC,positive
1027193.0,"Earnings Scheduled For February 13, 2019",2019-02-13 04:05:00-05:00,PPC,neutral
1027194.0,FinFit Announces Partnership With Pilgrim's Pride Corporation,2018-12-07 09:28:00-05:00,PPC,positive
1027195.0,Pilgrim's Pride Announces New $200M Share Repurchase Program,2018-11-01 04:35:00-04:00,PPC,positive
1027196.0,"Pilgrim's Pride Corporation Q3 EPS $0.21 Down From $0.98 YoY, Sales $2.698B Miss $2.73B Estimate",2018-10-31 18:06:00-04:00,PPC,positive
1027197.0,"Earnings Scheduled For October 31, 2018",2018-10-31 04:06:00-04:00,PPC,neutral
1027198.0,Pilgrim's Pride Shares Tick Lower As Traders Circulate Report Co. Sued By Chicken Farmer Related To Co.'s Poultry Practices,2018-10-29 12:35:00-04:00,PPC,positive
1027199.0,"Stocks Which Set New 52-Week Low Yesterday, August 2nd",2018-08-03 11:22:00-04:00,PPC,negative
1027200.0,"Stocks Which Set New 52-Week Low Yesterday, August 1st",2018-08-02 11:07:00-04:00,PPC,negative
1027201.0,"Pilgrims Pride Q2 EPS $0.53 Misses $0.69 Estimate, Sales $2.837B Beat $2.77B Estimate",2018-08-01 17:08:00-04:00,PPC,positive
1027202.0,"Earnings Scheduled For August 1, 2018",2018-08-01 04:07:00-04:00,PPC,neutral
1027203.0,"Stocks Which Set New 52-Week Low Yesterday, July 25th",2018-07-26 11:19:00-04:00,PPC,negative
1027204.0,"Stocks Which Set New 52-Week Lows Yesterday, July 24th:",2018-07-25 12:17:00-04:00,PPC,negative
1027205.0,Stocks Which Set New 52-Week Lows Yesterday:,2018-07-24 12:10:00-04:00,PPC,negative
1027206.0,Stocks Which Set New 52-Week Lows Friday,2018-07-23 11:11:00-04:00,PPC,negative
1027207.0,Stocks Which Set New 52-Week Low Yesterday,2018-07-20 07:56:00-04:00,PPC,negative
1027208.0,Pilgrim's Pride Holding Special Shareholder Meeting Today,2018-06-26 07:34:00-04:00,PPC,positive
1027209.0,"The Week Ahead: Senate Weighs Sprint-T-Mobile Merger, Nike Earnings And A Slew Of IPOs",2018-06-25 14:00:00-04:00,PPC,neutral
1027210.0,"The Market In 5 Minutes: Stress Test Results, More Trade Talks, Viacom's Unexpected Risk",2018-06-22 09:00:00-04:00,PPC,negative
1027211.0,Pilgrim's Pride Said to Bids on Hain Celestial's Protein Business,2018-06-22 04:01:00-04:00,PPC,positive
1027212.0,"Jim Cramer Advises His Viewers On Groupon, Adobe And More",2018-05-30 07:36:00-04:00,PPC,neutral
1027213.0,"Pilgrims Pride Q1 EPS $0.53 Misses $0.54 Estimate, Sales $2.747B Beat $2.65B Estimate",2018-05-10 16:59:00-04:00,PPC,positive
1027214.0,"Earnings Scheduled For May 10, 2018",2018-05-10 04:00:00-04:00,PPC,neutral
1027215.0,Mizuho Analyst Says Significant Drop In Soybean Prices Would Be A Boost For U.S. Meat Companies As They Can Absorb Lower Costs,2018-04-04 10:36:00-04:00,PPC,positive
1027216.0,China Tariffs Incite Fear In Trump Heartland: Stocks In Focus,2018-04-03 11:06:00-04:00,PPC,negative
1027217.0,"Mizuho Initiates Coverage On Pilgrims Pride with Buy Rating, Announces $29.00 Price Target",2018-03-29 09:02:00-04:00,PPC,positive
1027218.0,5 Agriculture Stocks That Could Withstand A Trade War With China,2018-03-27 11:24:00-04:00,PPC,negative
1027219.0,"Jim Cramer Gives His Opinion On Centene, Pilgrim's Pride And Danaher",2018-03-15 07:15:00-04:00,PPC,positive
1027220.0,42 Biggest Movers From Yesterday,2018-03-15 05:18:00-04:00,PPC,neutral
1027221.0,29 Stocks Moving In Wednesday's Mid-Day Session,2018-03-14 12:40:00-04:00,PPC,neutral
1027222.0,"Benzinga's Top Upgrades, Downgrades For March 14, 2018",2018-03-14 09:35:00-04:00,PPC,positive
1027223.0,Vertical Group Upgrades Pilgrims Pride to Buy,2018-03-14 08:15:00-04:00,PPC,positive
1027224.0,"Pilgrim's Pride Late Wednesday Reported Q4 EPS $0.54 vs $0.51 Est., Sales $2.74B vs $2.54B Est.",2018-02-15 09:23:00-05:00,PPC,positive
1027225.0,"Earnings Scheduled For February 14, 2018",2018-02-14 04:07:00-05:00,PPC,neutral
1027226.0,"Sysco, US Foods Have Sued Chicken Cos., Citing Collusion",2018-01-31 11:16:00-05:00,PPC,neutral
1027227.0,3 Food Stocks To Consider Buying As The Restaurant Industry Evolves,2017-11-30 12:32:00-05:00,PPC,neutral
1027228.0,Feeding 10 People For Thanksgiving Hasn't Been This Cheap Since 2013,2017-11-17 14:38:00-05:00,PPC,neutral
1027229.0,5 Keys To Unlocking The Secrets Of Value Investing,2017-11-09 12:25:00-05:00,PPC,positive
1027230.0,"BMO Capital Maintains Market Perform on Pilgrims Pride, Raises Price Target to $38.00",2017-11-09 09:31:00-05:00,PPC,positive
1027231.0,"Earnings Scheduled For November 7, 2017",2017-11-07 04:14:00-05:00,PPC,neutral
1027232.0,"Morgan Stanley Initiates Coverage On Pilgrims Pride with Equal-Weight Rating, Announces $30.00 Price Target",2017-11-03 08:13:00-04:00,PPC,positive
1027233.0,Pilgrim's to Close Processing Facility in Luverne Which Employs ~200 People,2017-10-24 16:51:00-04:00,PPC,neutral
1027234.0,"Lightning Round: Jim Cramer Weighs In On MGM Resorts, O'Reilly Automotive And More",2017-10-24 07:40:00-04:00,PPC,neutral
1027235.0,Watch These 6 Huge Put Purchases In Monday Trade,2017-10-02 04:17:00-04:00,PPC,positive
1027236.0,Benzinga's Option Alert Recap From September 29,2017-09-29 16:08:00-04:00,PPC,positive
1027237.0,Pilgrim's Pride Option Alert: Nov 17 $27 Puts Sweep (2) at the Ask: 2500 @ $0.85 vs 4 OI; Ref=$28.33,2017-09-29 10:53:00-04:00,PPC,positive
1027238.0,"Beef-Related Stocks Higher After Hours In Sympathy Following Strong Guidance From Tyson: Sanderson Farms Up 2.1%, Pilgrim's Pride Up 1.7%, Hormel Up 1.2%,",2017-09-28 16:22:00-04:00,PPC,positive
