Unnamed: 0,title,date,stock,sentiment
1060875.0,uniQure Highlights Presentations For ASGCT Meeting,2020-05-14 07:12:00-04:00,QURE,neutral
1060876.0,"Shares of several companies in the broader healthcare sector are trading lower amid market weakness despite recent strength from many names in the space. Equities are down for the session following cautious comments from US Fed Chair Powell, which forecast uncertainty and downside risk. Some regions of the US have extended lockdown restrictions, including Washington D.C.  and Los Angeles County.",2020-05-13 12:49:00-04:00,QURE,negative
1060877.0,uniQure Q1 EPS $(0.630) Up From $(0.740) YoY,2020-04-29 07:11:00-04:00,QURE,neutral
1060878.0,uniQure Shares Volatile On Uptick In Volume; Hearing Cantor Fitzgerald Out With Positive Comments On Name,2020-04-24 13:49:00-04:00,QURE,positive
1060879.0,Shares of several healthcare companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity. Several companies in the sector may also be benefiting from increased demand for therapies and medical supplies amid the coronavirus pandemic.,2020-04-07 07:48:00-04:00,QURE,positive
1060880.0,uniQure Reports Achievement Of Target Patient Dosing In HOPE-B Trial Of AMT-061 For Hemophilia B,2020-03-26 07:30:00-04:00,QURE,neutral
1060881.0,Shares of several healthcare  companies are trading lower. Movement appears market-related as markets continue to dip amid the global coronavirus outbreak and OPEC failing to reach production agreement.,2020-03-09 10:55:00-04:00,QURE,neutral
1060882.0,Shares of several healthcare companies are trading lower. Movement appears market related as markets continue to dip amid the global coronavirus outbreak.,2020-03-06 09:11:00-05:00,QURE,neutral
1060883.0,"Chardan Capital Maintains Buy on uniQure, Lowers Price Target to $105",2020-03-03 10:37:00-05:00,QURE,negative
1060884.0,uniQure And Gen-X Enter Research Collaboration And License Agreement For The Development Of Novel Synthetic Promoters,2020-03-02 16:15:00-05:00,QURE,positive
1060885.0,"The Daily Biotech Pulse: Assertio To Sell Opioid Pain Drug, Milestone Payment For Aduro, Myriad Genetics CEO Resigns",2020-02-07 07:32:00-05:00,QURE,negative
1060886.0,"Cantor Fitzgerald Maintains Overweight on uniQure, Raises Price Target to $96",2020-01-23 08:15:00-05:00,QURE,negative
1060887.0,10 Biotech M&A Targets Under The Scanner For 2020,2019-12-24 07:30:00-05:00,QURE,neutral
1060888.0,A Perspective On Biopharma's Record M&A Run In 2019,2019-12-23 14:57:00-05:00,QURE,neutral
1060889.0,uniQure Option Alert: Jan 17 $80 Calls Sweep (4) above Ask!: 575 @ $2.75 vs 1546 OI; Ref=$70.45,2019-12-18 12:55:00-05:00,QURE,positive
1060890.0,10 Biggest Price Target Changes For Tuesday,2019-12-10 08:42:00-05:00,QURE,neutral
1060891.0,"Mizuho Reiterates Buy on uniQure, Raises Price Target to $90",2019-12-10 08:01:00-05:00,QURE,neutral
1060892.0,uniQure Announces One-Year Follow-Up Data from the Phase IIb Study of Etranacogene Dezaparvovec and Long-Term Follow-Up Data for AMT-060 in Patients with Hemophilia B at ASH 2019,2019-12-08 16:06:00-05:00,QURE,neutral
1060893.0,"The Week Ahead In Biotech: ASH Presentations Pick Up Steam, Correvio Awaits Adcom Ruling",2019-12-07 08:35:00-05:00,QURE,positive
1060894.0,63 Biggest Movers From Yesterday,2019-12-04 05:15:00-05:00,QURE,neutral
1060895.0,40 Stocks Moving In Tuesday's Mid-Day Session,2019-12-03 12:20:00-05:00,QURE,neutral
1060896.0,The Gene Therapy Names Moving On The Audentes Buyout Deal,2019-12-03 11:53:00-05:00,QURE,neutral
