Unnamed: 0,title,date,stock,sentiment
1076764.0,"Ring Energy Q1 EPS $0.640 Up From $0.170 YoY, Sales $39.570M Miss $41.860M Estimate",2020-05-11 17:04:00-04:00,REI,positive
1076765.0,Ring Energy Files For Mixed Shelf Offering Of Up To $313.8M,2020-05-04 15:08:00-04:00,REI,positive
1076766.0,Energy Sees 2020 Capex $32M,2020-04-22 16:19:00-04:00,REI,positive
1076767.0,"Ring Energy shares are trading higher after the company announced it entered into a purchase and sales agreement to sell its Delaware Basin asset located in Culberson and Reeves Counties, Texas.",2020-04-14 16:40:00-04:00,REI,positive
1076768.0,Ring Energy Enters Into A Purchase And Sale Agreement To Sell Its Delaware Basin Asset Locations In Culberson And Reeves Counties Texas,2020-04-14 16:20:00-04:00,REI,positive
1076769.0,"Ring Energy Q4 Adj. EPS $0.17 Beats $0.14 Estimate, Sales $52.23M Beat $52M Estimate",2020-03-16 17:27:00-04:00,REI,positive
1076770.0,Ring Energy shares are trading lower after SunTrust Robinson Humphrey downgraded the stock from Buy to Hold and lowered its price target from $5 to $1.,2020-03-09 11:00:00-04:00,REI,positive
1076771.0,"SunTrust Robinson Humphrey Downgrades Ring Energy to Hold, Lowers Price Target to $1",2020-03-09 06:48:00-04:00,REI,positive
1076772.0,Ring Energy shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,2019-11-07 10:44:00-05:00,REI,positive
1076773.0,"Ring Energy Q3 EPS $0.15 Beats $0.12 Estimate, Sales $50.34M Beat $48.82M Estimate",2019-11-06 16:28:00-05:00,REI,positive
1076774.0,Ring Energy shares are trading higher on continued momentum after the company reported Q3 and nine month 2019 operations update.,2019-10-17 14:28:00-04:00,REI,positive
1076775.0,Ring Energy shares are trading higher after the company reported Q3 and nine month 2019 operations update.,2019-10-16 14:00:00-04:00,REI,positive
1076776.0,"Ring Energy, Inc. Releases Third Quarter And Nine Month 2019 Operations Update",2019-10-15 16:09:00-04:00,REI,positive
1076777.0,"Ring Energy shares are trading higher in sympathy with the overall market after multiple companies reported earnings that topped expectations, bringing the whole market higher on positive sentiment.",2019-10-15 11:44:00-04:00,REI,positive
1076778.0,Ring Energy shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2019-08-08 09:05:00-04:00,REI,positive
1076779.0,"Ring Energy Q2 Adj. EPS $0.17 Beats $0.14 Estimate, Sales $51.3M Beat $50.4M Estimate",2019-08-07 17:01:00-04:00,REI,positive
1076780.0,Ring Energy Cuts FY19 Capex Budget From $154M To $152M,2019-07-22 16:21:00-04:00,REI,neutral
