Unnamed: 0,title,date,stock,sentiment
1086801.0,RCI Hospitality Reports 32 Locations Have Reopened With Easing Of Coronavirus Pandemic Restrictions,2020-05-27 09:41:00-04:00,RICK,positive
1086802.0,RCI Announces 32 Locations Have Reopened,2020-05-27 09:07:00-04:00,RICK,neutral
1086803.0,82 Biggest Movers From Yesterday,2020-05-19 04:44:00-04:00,RICK,neutral
1086804.0,"RCI Hospitality Holdings Q1 EPS $0.620 Misses $0.640 Estimate, Sales $48.394M Beat $48.000M Estimate",2020-05-11 16:18:00-04:00,RICK,negative
1086805.0,108 Biggest Movers From Yesterday,2020-04-30 05:30:00-04:00,RICK,neutral
1086806.0,82 Stocks Moving In Wednesday's Mid-Day Session,2020-04-29 12:50:00-04:00,RICK,neutral
1086807.0,RCI Hospitality Reports All 10 Bombshells In Texas Will Open This Week,2020-04-29 09:09:00-04:00,RICK,neutral
1086808.0,86 Biggest Movers From Yesterday,2020-04-14 05:19:00-04:00,RICK,negative
1086809.0,"RCI Hospitality Holdings Sees Prelim. Q2 Total Club And Restaurant Sales $39.8M,",2020-04-09 09:11:00-04:00,RICK,neutral
1086810.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,RICK,negative
1086811.0,88 Stocks Moving In Friday's Mid-Day Session,2020-03-13 12:38:00-04:00,RICK,neutral
1086812.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,RICK,negative
1086813.0,RCI Says In Compliance with Nasdaq Periodic Filing Requirement,2020-03-02 16:20:00-05:00,RICK,neutral
1086814.0,140 Biggest Movers From Yesterday,2020-02-28 05:00:00-05:00,RICK,neutral
1086815.0,"RCI Hospitality Holdings Q1 EPS $0.62 Misses $0.64 Estimate, Sales $48.4M Beat $48M Estimate",2020-02-27 16:34:00-05:00,RICK,negative
1086816.0,100 Stocks Moving In Thursday's Mid-Day Session,2020-02-27 12:24:00-05:00,RICK,neutral
1086817.0,RCI Hospitality Raises Qtr. Dividend From $0.03 To $0.04;Share,2020-02-20 09:05:00-05:00,RICK,neutral
1086818.0,RCI Hospitality Reports Received Expected Notification From Nasdaq Related To Noncompliance With Rule Requiring Timely Filing Of Reports With SEC; Co. Submitted Plan To Nasdaq On Feb. 14,2020-02-18 16:23:00-05:00,RICK,neutral
1086819.0,RCI Receives Nasdaq Letter Notifying Co. Of Noncompliance Due To Untimely 10-Q Filing,2020-02-18 16:23:00-05:00,RICK,neutral
1086820.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,RICK,neutral
1086821.0,"RCI Hospitality Holdings Q4 EPS $0.48 Beats $0.45 Estimate, Sales $45.2M Beat $45M Estimate",2020-02-13 16:27:00-05:00,RICK,neutral
1086822.0,Mid-Afternoon Market Update: Dow Jumps Over 200 Points; ACCO Brands Shares Gain On Earnings Beat,2020-02-12 14:17:00-05:00,RICK,positive
1086823.0,94 Biggest Movers From Yesterday,2020-02-12 05:13:00-05:00,RICK,neutral
1086824.0,71 Stocks Moving In Tuesday's Mid-Day Session,2020-02-11 12:21:00-05:00,RICK,neutral
1086825.0,58 Consumer Cyclical Stocks Moving In Wednesday's Session,2020-01-22 12:19:00-05:00,RICK,neutral
1086826.0,"RCI Hospitality Reports Q1 Total Club And Restaurant Sales $47.8M, Up From $43.4M YoY",2020-01-09 09:08:00-05:00,RICK,neutral
1086827.0,RCI Hospitality Holdings Option Alert: May 15 $22.5 Calls at the Ask: 500 @ $1.101 vs 116 OI; Earnings 2/10 After Close [est] Ref=$20.06,2019-12-30 12:04:00-05:00,RICK,positive
1086828.0,"RCI Hospitality Offers Update On FY19 10-K, Sales, Free Cash Flow, Buybacks, M&A",2019-12-16 16:09:00-05:00,RICK,positive
1086829.0,RCI Reports Q4 Club & Restaurant Total Sales Up 11.8% YoY,2019-10-08 09:02:00-04:00,RICK,neutral
1086830.0,RCI Hospitality Holdings Has Been Notified That It Is Now In Compliance With Nasdaq Periodic Filing Requirement,2019-10-03 16:30:00-04:00,RICK,neutral
1086831.0,55 Biggest Movers From Yesterday,2019-09-26 04:34:00-04:00,RICK,neutral
1086832.0,34 Stocks Moving In Wednesday's Mid-Day Session,2019-09-25 12:02:00-04:00,RICK,neutral
