Unnamed: 0,title,date,stock,sentiment
1091221.0,"Shares of several retail & apparel companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus.",2020-06-11 10:34:00-04:00,RL,positive
1091222.0,Shares of several consumer discretionary companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up. NOTE: Investors are awaiting the FOMC meeting on Wednesday.,2020-06-09 11:07:00-04:00,RL,positive
1091223.0,"Shares of several retail and apparel companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. As the economy reopenings, consumer spending in the sector should increase.",2020-06-05 10:21:00-04:00,RL,positive
1091224.0,"Shares of several apparel and specialty retail companies are trading higher as US stores continue to reopen, leading to hopes of a rebound in retail. Move may also be in sympathy with American Eagle, which was volatile after reporting Q1 results.",2020-06-03 11:11:00-04:00,RL,positive
1091225.0,"Deutsche Bank Maintains Hold on Ralph Lauren, Raises Price Target to $80",2020-05-28 09:57:00-04:00,RL,neutral
1091226.0,"UBS Maintains Neutral on Ralph Lauren, Raises Price Target to $80",2020-05-28 09:18:00-04:00,RL,neutral
1091227.0,"Citigroup Maintains Neutral on Ralph Lauren, Raises Price Target to $85",2020-05-28 09:11:00-04:00,RL,neutral
1091228.0,"Credit Suisse Maintains Outperform on Ralph Lauren, Raises Price Target to $89",2020-05-28 08:33:00-04:00,RL,positive
1091229.0,"Needham Maintains Buy on Ralph Lauren, Raises Price Target to $90",2020-05-28 06:56:00-04:00,RL,neutral
1091230.0,Mid-Afternoon Market Update: Dow Rises 300 Points; Euroseas Shares Spike Higher,2020-05-27 14:30:00-04:00,RL,positive
1091231.0,"CFRA Maintains Hold on Ralph Lauren, Lowers Price Target to $85",2020-05-27 12:15:00-04:00,RL,negative
1091232.0,Mid-Day Market Update: Crude Oil Falls Over 5%; Mersana Therapeutics Shares Jump,2020-05-27 12:01:00-04:00,RL,negative
1091233.0,"Costco Reports Tomorrow As Investors Examine Ralph Lauren, Toll Brothers Today",2020-05-27 11:14:00-04:00,RL,neutral
1091234.0,Mid-Morning Market Update: Markets Mixed; Ralph Lauren Earnings Miss Views,2020-05-27 10:28:00-04:00,RL,negative
1091235.0,Ralph Lauren: Q4 Earnings Insights,2020-05-27 08:39:00-04:00,RL,neutral
1091236.0,Ralph Lauren shares are trading lower after the company reported worse-than-expected Q4 EPS results. The stock has reversed and is now trading higher.,2020-05-27 08:12:00-04:00,RL,neutral
1091237.0,"Ralph Lauren Q4 Adj. EPS $(0.68) Misses $0.01 Estimate, Sales $1.30B Beat $1.29B Estimate",2020-05-27 08:05:00-04:00,RL,negative
1091238.0,"A Peek Into The Markets: US Stock Futures Surge Ahead Of HP Earnings, Beige Book Report",2020-05-27 06:01:00-04:00,RL,neutral
1091239.0,"Earnings Scheduled For May 27, 2020",2020-05-27 04:40:00-04:00,RL,neutral
1091240.0,"6 Stocks To Watch For May 27, 2020",2020-05-27 04:05:00-04:00,RL,neutral
1091241.0,Shares of several consumer discretionary companies are trading higher as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could mean a faster return to discretionary spending.,2020-05-26 12:24:00-04:00,RL,positive
1091242.0,Biotech Shares In Focus As Encouraging Vaccine News Leads Broad Market Rally,2020-05-26 10:10:00-04:00,RL,positive
1091243.0,10 Biggest Price Target Changes For Thursday,2020-05-07 08:16:00-04:00,RL,neutral
1091244.0,"A Peek Into The Markets: US Stock Futures Climb Ahead Of Earnings, Initial Jobless Claims Data",2020-05-07 06:06:00-04:00,RL,neutral
1091245.0,"Cowen & Co. Downgrades Ralph Lauren to Market Perform, Lowers Price Target of $76",2020-05-07 05:29:00-04:00,RL,negative
1091246.0,A Look Into Ralph Lauren's Price Over Earnings,2020-05-01 10:27:00-04:00,RL,neutral
1091247.0,32 Stocks Moving in Friday's Pre-Market Session,2020-05-01 07:15:00-04:00,RL,neutral
1091248.0,Shares of several apparel and footwear companies are trading lower as markets dip following US jobless claims and personal spending data. Lower personal spending could be a negative catalyst for consumer goods such as apparel.,2020-04-30 12:00:00-04:00,RL,negative
1091249.0,Why Ralph Lauren's Stock Is Trading Lower,2020-04-30 11:10:00-04:00,RL,negative
1091250.0,Ralph Lauren shares are trading lower after Citigroup maintained Neutral on the stock and lowered its price target from $87 to $80.,2020-04-30 10:25:00-04:00,RL,negative
1091251.0,"Citigroup Maintains Neutral on Ralph Lauren, Lowers Price Target to $80",2020-04-30 09:47:00-04:00,RL,negative
1091252.0,"Deutsche Bank Maintains Hold on Ralph Lauren, Lowers Price Target to $79",2020-04-24 09:27:00-04:00,RL,negative
1091253.0,"Luxury Brand Names On Watch For Potential Sympathy Move With L Brands, Which Dipped On Reports Sycamore Is Seeking To Terminate A Deal For The Company's Victoria's Secret Brand",2020-04-22 13:53:00-04:00,RL,positive
1091254.0,Ralph Lauren shares are trading lower after UBS maintained its Neutral rating on the stock and lowered its price target from $123 to $75 per share.,2020-04-15 09:51:00-04:00,RL,positive
1091255.0,"UBS Maintains Neutral on Ralph Lauren, Lowers Price Target to $75",2020-04-15 09:48:00-04:00,RL,negative
1091256.0,Tuesday's Market Minute: Covid-19 Fuels Demise Of The U.S. Mall,2020-04-07 09:28:00-04:00,RL,neutral
1091257.0,"Benzinga's Top Upgrades, Downgrades For April 3, 2020",2020-04-03 09:54:00-04:00,RL,positive
1091258.0,10 Biggest Price Target Changes For Friday,2020-04-03 08:05:00-04:00,RL,neutral
1091259.0,"RBC Capital Downgrades Ralph Lauren to Sector Perform, Lowers Price Target to $65",2020-04-03 07:05:00-04:00,RL,negative
1091260.0,"Needham Maintains Buy on Ralph Lauren, Lowers Price Target to $80",2020-03-23 11:06:00-04:00,RL,negative
1091261.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,RL,negative
1091262.0,Ralph Lauren To Temporarily Close All Stores Across North America Through Apr. 1,2020-03-17 08:26:00-04:00,RL,neutral
1091263.0,"Wells Fargo Maintains Overweight on Ralph Lauren, Lowers Price Target to $109",2020-03-16 09:43:00-04:00,RL,negative
1091264.0,"Deutsche Bank Earlier Downgraded Ralph Lauren to Hold, Lowered Price Target to $92",2020-03-13 13:13:00-04:00,RL,negative
1091265.0,Stocks That Hit 52-Week Lows On Friday,2020-03-13 11:13:00-04:00,RL,negative
1091266.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,RL,negative
1091267.0,E-Commerce Is Among The Lucky Ones With The Tools To Amortize The Coronavirus Blow,2020-03-12 12:02:00-04:00,RL,positive
1091268.0,"Apple, Microsoft And A Few Cyclicals Lead Broad-Based Stock Rally; Bond Yields Extend Weakness",2020-03-02 17:16:00-05:00,RL,negative
1091269.0,"Coronavirus Is Not Only Eating Into Growth, But Might Also Break Some Bubbles",2020-02-28 09:54:00-05:00,RL,positive
1091270.0,China Stimulus Doesn't Translate Into US Strength As Deere Prepares To Report Friday,2020-02-20 09:39:00-05:00,RL,positive
1091271.0,"Deutsche Bank Maintains Buy on Ralph Lauren, Lowers Price Target to $141",2020-02-18 09:13:00-05:00,RL,negative
1091272.0,"Coronavirus Fears Back On Big Earnings Day As Alibaba, PepsiCo, Nvidia All Report",2020-02-13 10:05:00-05:00,RL,negative
1091273.0,Ralph Lauren Expects Q4 Guidance To Be Negatively Impacted By $55M-$70M In Sales And $35M-$45M I Operating Income In Asia As A Result Of Coronavirus,2020-02-13 08:11:00-05:00,RL,neutral
1091274.0,"Benzinga's Top Upgrades, Downgrades For February 5, 2020",2020-02-05 09:55:00-05:00,RL,positive
1091275.0,"Deutsche Bank Maintains Buy on Ralph Lauren, Raises Price Target to $144",2020-02-05 09:11:00-05:00,RL,neutral
1091276.0,10 Biggest Price Target Changes For Wednesday,2020-02-05 08:31:00-05:00,RL,neutral
1091277.0,"Citigroup Maintains Neutral on Ralph Lauren, Raises Price Target to $125",2020-02-05 07:40:00-05:00,RL,neutral
1091278.0,B of A Securities Upgrades Ralph Lauren to Neutral,2020-02-05 06:11:00-05:00,RL,positive
1091279.0,68 Biggest Movers From Yesterday,2020-02-05 05:56:00-05:00,RL,neutral
1091280.0,"Needham Maintains Buy on Ralph Lauren, Raises Price Target to $136",2020-02-05 05:28:00-05:00,RL,neutral
1091281.0,UPDATE: CFRA On Ralph Lauren Also Notes Co. 'is well positioned to navigate Mar-Q ramifications of the coronavirus given China accounts for only 4% of business'; Believes 'investors should be cautious with recent results given ongoing challenges for RL',2020-02-04 12:44:00-05:00,RL,positive
1091282.0,"UPDATE: CFRA Upgrades Ralph Lauren To Hold, Raises Target To $125 On 'mitigated skepticism of the North America turnaround narrative', 'encouraging average unit retail growth'",2020-02-04 12:44:00-05:00,RL,positive
1091283.0,"CFRA Upgrades Ralph Lauren to Hold, Raises Price Target to $125",2020-02-04 12:38:00-05:00,RL,neutral
1091284.0,55 Stocks Moving In Tuesday's Mid-Day Session,2020-02-04 12:35:00-05:00,RL,neutral
1091285.0,"PreMarket Prep Recap, Feb. 4, 2020: TSLA Continues Its Unbelievable Move",2020-02-04 11:00:00-05:00,RL,positive
1091286.0,Ralph Lauren Corp Estimates Tariffs Will Have About $12M To $15M Of Total Impact To Cost Of Goods Sold In Fiscal '21,2020-02-04 09:50:00-05:00,RL,neutral
1091287.0,Ralph Lauren shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,2020-02-04 08:37:00-05:00,RL,positive
1091288.0,"Ralph Lauren Q3 Adj. EPS $2.86 Beats $2.44 Estimate, Sales $1.751B Beat $1.72B Estimate",2020-02-04 08:05:00-05:00,RL,neutral
1091289.0,"BMO Capital Initiates Coverage On Ralph Lauren with Market Perform Rating, Announces $115 Price Target",2020-02-04 05:14:00-05:00,RL,neutral
1091290.0,"Earnings Scheduled For February 4, 2020",2020-02-04 04:21:00-05:00,RL,neutral
1091291.0,Q3 Earnings Outlook For Ralph Lauren,2020-02-03 13:40:00-05:00,RL,neutral
1091292.0,"Wells Fargo Maintains Overweight on Ralph Lauren, Raises Price Target to $135",2020-01-30 08:21:00-05:00,RL,negative
1091293.0,"Deutsche Bank Reiterates Buy on Ralph Lauren, Raises Price Target to $135",2020-01-27 08:40:00-05:00,RL,neutral
1091294.0,Shares of retail companies are trading higher amid multiple positive US-China trade developments.,2019-12-12 10:16:00-05:00,RL,positive
1091295.0,"Shares of several retail and apparel companies are trading higher. Strength may be related to large Black Friday and Cyber Monday sales numbers as well as US-China trade reports, as the sector has heavy China exposure.",2019-12-04 13:01:00-05:00,RL,positive
1091296.0,"Wells Fargo Reiterates Outperform, $128 Target On Ralph Lauren Notes 'our meetings with management reaffirmed our view that the business remains relatively healthy on a global level, with management confident in their 2H plans'",2019-12-04 12:16:00-05:00,RL,positive
1091297.0,Guess Is Far From Being A Fashionable Stock But It At Least Reported A Profit,2019-11-27 12:25:00-05:00,RL,positive
1091298.0,Ralph Lauren Option Alert: Jan 17 $120 Calls Sweep (32) near the Ask: 500 @ $0.949 vs 751 OI; Ref=$108.77,2019-11-26 11:17:00-05:00,RL,positive
1091299.0,TJX Beats Expectations With Third Quarter Results,2019-11-20 10:30:00-05:00,RL,neutral
1091300.0,"UPDATE: UBS On Ralph Lauren Notes 'One main factor keeps us from rating RL Buy - we think its North America wholesale business will remain a drag not only on EPS, but also the stock's P/E'",2019-11-14 11:10:00-05:00,RL,negative
1091301.0,"UPDATE: UBS Maintains Neutral On Ralph Lauren, Raises Target To $112 Notes 'RL is making steady progress growing its top-line in international markets and driving gross margin improvement'",2019-11-14 11:09:00-05:00,RL,positive
1091302.0,"UBS Maintains Neutral on Ralph Lauren, Raises Price Target to $112",2019-11-14 07:24:00-05:00,RL,neutral
1091303.0,"Barclays Initiates Coverage On Ralph Lauren with Overweight Rating, Announces $130 Price Target",2019-11-13 07:20:00-05:00,RL,negative
1091304.0,"PiperJaffray Maintains Neutral on Ralph Lauren, Raises Price Target to $102",2019-11-08 09:43:00-05:00,RL,neutral
