Unnamed: 0,title,date,stock,sentiment
1112944.0,Sage Therapeutics shares are trading higher after RBC Capital reiterates an Outperform and raised the price target from $72 to $75 per share.,2020-05-26 09:31:00-04:00,SAGE,positive
1112945.0,"RBC Capital Reiterates Outperform on Sage Therapeutics, Raises Price Target to $75",2020-05-26 07:20:00-04:00,SAGE,neutral
1112946.0,"Wedbush Downgrades Sage Therapeutics to Neutral, Raises Price Target of $37",2020-05-08 13:13:00-04:00,SAGE,neutral
1112947.0,"SunTrust Robinson Humphrey Maintains Hold on Sage Therapeutics, Lowers Price Target to $35",2020-05-08 11:26:00-04:00,SAGE,negative
1112948.0,"RBC Capital Maintains Outperform on Sage Therapeutics, Raises Price Target to $72",2020-05-08 09:39:00-04:00,SAGE,neutral
1112949.0,"Sage Therapeutics Q1 EPS $(2.440) Beats $(3.140) Estimate, Sales $2.300M Miss $2.800M Estimate",2020-05-07 16:11:00-04:00,SAGE,negative
1112950.0,"RBC Capital Maintains Outperform on Sage Therapeutics, Raises Price Target to $71",2020-04-28 08:07:00-04:00,SAGE,neutral
1112951.0,"SunTrust Robinson Humphrey Maintains Hold on Sage Therapeutics, Lowers Price Target to $37",2020-04-09 12:25:00-04:00,SAGE,negative
1112952.0,"BMO Capital Maintains Outperform on Sage Therapeutics, Lowers Price Target to $65",2020-04-09 11:12:00-04:00,SAGE,negative
1112953.0,"Canaccord Genuity Maintains Buy on Sage Therapeutics, Lowers Price Target to $80",2020-04-08 12:05:00-04:00,SAGE,negative
1112954.0,"Citigroup Maintains Buy on Sage Therapeutics, Raises Price Target to $54",2020-04-08 11:09:00-04:00,SAGE,neutral
1112955.0,"RBC Capital Maintains Outperform on Sage Therapeutics, Raises Price Target to $68",2020-04-08 10:27:00-04:00,SAGE,neutral
1112956.0,"Mizuho Maintains Neutral on Sage Therapeutics, Lowers Price Target to $36",2020-04-08 09:33:00-04:00,SAGE,negative
1112957.0,"Oppenheimer Maintains Outperform on Sage Therapeutics, Lowers Price Target to $50",2020-04-08 08:07:00-04:00,SAGE,negative
1112958.0,Guggenheim Downgrades Sage Therapeutics to Neutral,2020-04-08 07:02:00-04:00,SAGE,neutral
1112959.0,"Sage Says Current Cash Balance, Marketable Securities Should Support Operations Into 2022",2020-04-07 16:02:00-04:00,SAGE,positive
1112960.0,"Sage Therapeutics Reports Restructuring, Sees Annualized Cost Savings ~$170M, Will Cut 340 Employees From Headcount, ~53% Of Workforce",2020-04-07 16:01:00-04:00,SAGE,negative
1112961.0,"SunTrust Robinson Humphrey Maintains Hold on Sage Therapeutics, Lowers Price Target to $40",2020-03-26 09:23:00-04:00,SAGE,negative
1112962.0,Sage Therapeutics Announces Development Plan For Zuranolone (SAGE-217) Following Breakthrough Therapy Guidance Meeting With FDA,2020-03-18 06:31:00-04:00,SAGE,neutral
