Unnamed: 0,title,date,stock,sentiment
1116594.0,"Raymond James Reiterates Outperform on Seacoast Banking, Raises Price Target to $27",2020-04-30 08:39:00-04:00,SBCF,neutral
1116595.0,"Seacoast Banking Q1 EPS $0.100 Misses $0.380 Estimate, Sales $77.900M Beat $75.270M Estimate",2020-04-28 16:20:00-04:00,SBCF,negative
1116596.0,"B. Riley FBR Maintains Neutral on Seacoast Banking, Raises Price Target to $21",2020-04-13 08:19:00-04:00,SBCF,neutral
1116597.0,"B. Riley FBR Maintains Neutral on Seacoast Banking, Lowers Price Target to $19",2020-03-25 07:42:00-04:00,SBCF,negative
1116598.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,SBCF,negative
1116599.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,SBCF,negative
1116600.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,SBCF,negative
1116601.0,11 Financial Services Stocks Moving In Thursday's After-Market Session,2020-01-23 23:21:00-05:00,SBCF,neutral
1116602.0,6 Banks—Regional Stocks Moving In Thursday's After-Market Session,2020-01-23 23:10:00-05:00,SBCF,neutral
1116603.0,Stocks That Hit 52-Week Highs On Monday,2019-12-23 10:20:00-05:00,SBCF,neutral
1116604.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-18 10:43:00-05:00,SBCF,neutral
1116605.0,Stocks That Hit 52-Week Highs On Friday,2019-12-13 11:19:00-05:00,SBCF,neutral
1116606.0,Stocks That Hit 52-Week Highs On Friday,2019-12-06 10:33:00-05:00,SBCF,neutral
1116607.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-05 11:12:00-05:00,SBCF,neutral
1116608.0,"Benzinga's Top Upgrades, Downgrades For October 28, 2019",2019-10-28 09:58:00-04:00,SBCF,positive
1116609.0,"B. Riley Downgrades Seacoast Banking to Neutral, Raises Price Target to $30",2019-10-28 06:35:00-04:00,SBCF,neutral
1116610.0,Seacoast Banking Q3 EPS $0.53 Beats $0.48 Estimate,2019-10-24 16:17:00-04:00,SBCF,neutral
1116611.0,"B. Riley Maintains Buy on Seacoast Banking, Lowers Price Target to $29",2019-10-04 09:37:00-04:00,SBCF,negative
1116612.0,"Seacoast Banking Q2 EPS $0.5 Beats $0.47 Estimate, Sales $73.713M Miss $75.44M Estimate",2019-07-25 17:21:00-04:00,SBCF,negative
1116613.0,"Seacoast Banking Q1 EPS $0.47 Beats $0.45 Estimate, Sales $73.61M Miss $74.61M Estimate",2019-04-25 17:01:00-04:00,SBCF,negative
1116614.0,"Seacoast Banking Q4 EPS $0.47 Beats $0.44 Estimate, Sales $72.698M Beat $72.06M Estimate",2019-01-24 16:45:00-05:00,SBCF,neutral
1116615.0,Raymond James Upgrades Seacoast Banking to Outperform,2018-11-15 06:25:00-05:00,SBCF,neutral
1116616.0,"Seacoast Banking Corporation of Florida Q3 EPS $0.37 Misses $0.41 Estimate, Sales $63.9M Miss $65.5M Estimate",2018-10-25 16:52:00-04:00,SBCF,negative
1116617.0,"Seacoast Banking Q2 EPS $0.38 Misses $0.43 Estimate, Sales $62.9M Miss $64.75M Estimate",2018-07-26 16:19:00-04:00,SBCF,negative
1116618.0,Seacoast To Acquire First Green Bancorp; Transaction Valued At $132.6M Or $23/Share,2018-06-11 18:03:00-04:00,SBCF,positive
1116619.0,"Benzinga's Top Upgrades, Downgrades For May 31, 2018",2018-05-31 09:23:00-04:00,SBCF,positive
1116620.0,Sandler O'Neill Downgrades Seacoast Banking to Hold,2018-05-31 07:47:00-04:00,SBCF,neutral
1116621.0,Raymond James Downgrades Seacoast Banking to Market Perform,2018-05-29 06:13:00-04:00,SBCF,neutral
1116622.0,Seacoast Banking Corp. Of Florida Q1 EPS $0.38 Misses $0.39 Est.,2018-04-26 16:55:00-04:00,SBCF,negative
1116623.0,Hovde Group Upgrades Seacoast Banking to Outperform,2018-02-07 08:19:00-05:00,SBCF,neutral
1116624.0,Seacoast Banking Corporation Reports Q4 2017 EPS $0.37 vs $0.31 In Q4 2016,2018-01-25 16:16:00-05:00,SBCF,neutral
1116625.0,Sandler O'Neill Upgrades Seacoast Banking to Buy,2018-01-11 09:06:00-05:00,SBCF,neutral
1116626.0,Seacost Reaffirms FY 2017 Guidance,2017-10-26 16:35:00-04:00,SBCF,neutral
1116627.0,"Seacost Q3 Adj. EPS $0.35 vs $0.34 Est., Sales $57.2M vs $57.5M Est.",2017-10-26 16:35:00-04:00,SBCF,neutral
1116628.0,Seacoast Reports Q2 Adj. EPS $0.29 vs. $0.30 Est.,2017-07-27 16:42:00-04:00,SBCF,neutral
1116629.0,"Seacoast To Acquire NorthStar Banking Corporation, Terms Not Disclosed",2017-05-18 08:31:00-04:00,SBCF,neutral
1116630.0,Seacoast Banking to Acquire Palm Beach Community Bank  for 0.9809 Seacoast Shares and $6.33 Cash,2017-05-04 17:38:00-04:00,SBCF,positive
1116631.0,"Seacoast Reports Q1 Adj. EPS $0.26 vs $0.27 Est., Sales $48.1M vs $48.05M Est.",2017-04-25 17:10:00-04:00,SBCF,neutral
1116632.0,Guggenheim Initiates Coverage On Seacoast Banking With Neutral,2017-03-15 08:59:00-04:00,SBCF,neutral
1116633.0,25 Stocks Moving In Wednesday's Pre-Market Session,2017-02-15 08:39:00-05:00,SBCF,neutral
1116634.0,Seacoast Reports Commencement of Common Stock Offering,2017-02-14 16:18:00-05:00,SBCF,neutral
1116635.0,7 Biggest Price Target Changes For Monday,2017-02-13 10:12:00-05:00,SBCF,neutral
1116636.0,"SunTrust Robinson Humphrey Upgrades Seacoast Banking To Buy, Raises Price Target To $26",2017-02-13 06:55:00-05:00,SBCF,neutral
1116637.0,"Seacost Reports Q4 Adj EPS $0.30 In-line, Revenues NII $37.4M",2017-02-01 16:47:00-05:00,SBCF,neutral
1116638.0,Seacost Appoints Charles Shaffer CFO Effective March 15,2017-01-26 17:00:00-05:00,SBCF,positive
1116639.0,"Barron's Picks And Pans: Amgen, Barnes & Noble, Expedia And More",2017-01-09 06:29:00-05:00,SBCF,positive
1116640.0,Fig Partners Downgrades Seacoast Banking Corporation of Florida - Common Stock to Market Perform,2016-11-07 09:22:00-05:00,SBCF,neutral
1116641.0,Seacoast To Acquire GulfShore Bank For Total Transaction Value Of $54.8M Or $9.80/GulfShore Share,2016-11-04 07:07:00-04:00,SBCF,positive
1116642.0,Mid-Morning Market Update: Markets Open Higher; Danaher To Acquire Cepheid For $4B,2016-09-06 10:05:00-04:00,SBCF,neutral
1116643.0,Hovde Group Downgrades Seacoast Banking to Market Perform,2016-09-06 07:48:00-04:00,SBCF,neutral
1116644.0,15 Biggest Mid-Day Gainers For Thursday,2016-09-01 12:55:00-04:00,SBCF,neutral
1116645.0,"Seacoast Banking Set For Profitability Ramp, Says KBW",2016-09-01 12:04:00-04:00,SBCF,positive
1116646.0,7 Biggest Price Target Changes For Thursday,2016-09-01 09:38:00-04:00,SBCF,neutral
1116647.0,The Market In 5 Minutes: Stocks Sell Off For Second Day In A Row,2016-09-01 08:47:00-04:00,SBCF,neutral
1116648.0,Benzinga's Top Upgrades,2016-09-01 08:47:00-04:00,SBCF,positive
1116649.0,"Keefe Bruyette & Woods Upgrades Seacoast Banking to Outperform, Raises PT to $20.00",2016-09-01 05:29:00-04:00,SBCF,neutral
1116650.0,"Seacoast Banking Reports Q2 EPS $0.25 vs $0.23 Est, Rev $43.7M vs $43.42M est",2016-07-27 17:40:00-04:00,SBCF,neutral
1116651.0,Seacoast Banking Reports Q1 EPS $0.15 Vs Est $0.19,2016-04-28 16:48:00-04:00,SBCF,neutral
1116652.0,"Seacoast Banking Initiated At Neutral By Suntrust, PT $17",2016-04-11 08:02:00-04:00,SBCF,neutral
1116653.0,An Activist Is Circling Seacoast Banking: Good For Investors?,2016-03-29 11:28:00-04:00,SBCF,positive
1116654.0,Benzinga's Top Upgrades,2016-03-29 09:38:00-04:00,SBCF,positive
1116655.0,"FBR Capital Upgrades Seacoast Banking to Outperform, Raises to $20.00",2016-03-29 06:58:00-04:00,SBCF,neutral
1116656.0,"Barron's Picks And Pans: Kinder Morgan, Gilead Sciences And More",2016-02-07 10:49:00-05:00,SBCF,positive
1116657.0,Seacoast Reports Q4 EPS $0.19 vs Est $0.31,2016-01-28 16:23:00-05:00,SBCF,neutral
1116658.0,Seacoast Banking Reports Q3 EPS $0.13 Vs Est $0.19,2015-10-22 16:07:00-04:00,SBCF,neutral
1116659.0,Seacoast Banking To Acquire BMO Harris Orlando Banking Operations; Terms Not Disclosed,2015-10-15 08:46:00-04:00,SBCF,neutral
1116660.0,"Seacoast Banking Corp. Of Florida Reports Inline Q2 Adj EPS $0.19, Sales $34.5M Vs Est $33.26M",2015-07-23 16:24:00-04:00,SBCF,neutral
1116661.0,Guggenheim Securities Downgrades Seacoast Banking to Neutral,2015-04-30 06:39:00-04:00,SBCF,positive
1116662.0,Seacoast Signs Definitive Merger Agreement To Acquire Grand Bankshares,2015-03-25 16:15:00-04:00,SBCF,positive
1116663.0,Morning Market Gainers,2015-03-23 09:56:00-04:00,SBCF,neutral
1116664.0,Benzinga's Top #PreMarket Gainers,2015-03-23 08:07:00-04:00,SBCF,positive
1116665.0,Barron's Recap: The 30 Best CEOs In The World,2015-03-22 17:09:00-04:00,SBCF,positive
1116666.0,Seacoast Banking Corp. Names Steve Fowles CFO,2015-02-19 16:53:00-05:00,SBCF,neutral
1116667.0,Raymond James Downgrades Seacoast Banking to Underperform,2015-01-07 09:35:00-05:00,SBCF,neutral
1116668.0,"Seacoast Banking Director Bohner Buys 11,800 Shares @$12.72/Share -Form 4",2014-12-02 12:21:00-05:00,SBCF,positive
1116669.0,"FIG Partners Upgrades Seacoast Banking Corporation of Florida to Outperform, Raises PT to $16.00",2014-11-19 08:49:00-05:00,SBCF,neutral
1116670.0,"FBR Capital Maintains Market Perform on Seacoast Banking Corporation of Florida, Raises PT to $14.00",2014-10-29 09:26:00-04:00,SBCF,neutral
1116671.0,Seacoast Banking Corporation of Florida Reports Q3 EPS of $0.12 vs $0.10 Est,2014-10-27 16:19:00-04:00,SBCF,neutral
1116672.0,"Guggenheim Securities Initiates Coverage on Seacoast Banking Corporation of Florida at Buy, Announces $12.50 PT",2014-10-03 08:40:00-04:00,SBCF,positive
1116673.0,Seacoast Banking Corporation of Florida Reports Q2 EPS of $0.12 vs $0.10 Est,2014-07-28 16:27:00-04:00,SBCF,neutral
1116674.0,Seacost Signs Definitive Agreement to Acquire The BANKshares for $76.1M,2014-04-24 17:01:00-04:00,SBCF,positive
1116675.0,Seacoast Banking Reports Purchase of The BANKshares,2014-04-24 16:57:00-04:00,SBCF,neutral
1116676.0,"Seacoast Banking Corporation of Florida Reports Q1 EPS of $0.09, Inline",2014-04-24 16:56:00-04:00,SBCF,neutral
1116677.0,Seacoast Banking Corp of Florida Halted News Pending,2014-04-24 16:56:00-04:00,SBCF,neutral
1116678.0,Seacoast Elects Director,2013-10-16 16:09:00-04:00,SBCF,neutral
1116679.0,Raymond James Upgrades Seacoast Banking Corporation of Florida to Market Perform,2013-06-10 09:48:00-04:00,SBCF,neutral
1116680.0,"Seacoast Banking Corporation of Florida Reports Q1 EPS of $0.01, Inline",2013-04-25 16:52:00-04:00,SBCF,neutral
1116681.0,Seacoast Banking of Flori Reports Q3 EPS $0.01 vs $-0.02 Est; Revenues $21.6M vs $21.59M Est,2012-10-25 16:12:00-04:00,SBCF,neutral
1116682.0,Seacoast Banking of Flori Reports Q2 EPS $-0.03 vs $0.01 Est,2012-07-26 16:38:00-04:00,SBCF,neutral
1116683.0,Seacoast Banking of Flori Reports Q1 EPS $0 vs $0.01 Est,2012-04-26 16:56:00-04:00,SBCF,neutral
1116684.0,Seacoast Banking Reports Q3 EPS $0.02 vs $(0.01) Est; Revenues $21.7M vs $21.56M Est		,2011-10-20 16:12:00-04:00,SBCF,neutral
1116685.0,"Benzinga's Worst Performing Industries, January 24th (TIBB, SBCF, RLD, RGC, PMI, AGO, PMC)",2011-01-24 18:26:00-05:00,SBCF,negative
1116686.0,"Benzinga’s Top Pre-Market Gainers (MBTF, ACTG, SYNA, SBCF, CPHD)",2010-04-23 09:09:00-04:00,SBCF,positive
1116687.0,"Benzinga’s Top Pre-Market Gainers (LIOX, SBCF, AUTH, NVAX, VICL)",2010-04-22 10:16:00-04:00,SBCF,positive
1116688.0,"Today's Morning Top Gainers (GSIT, SBCF, HDY, STBK, FST, ISLE, LUNA, SOMX)",2009-12-01 10:10:00-05:00,SBCF,positive
