Unnamed: 0,title,date,stock,sentiment
1116689.0,Shares of several communication companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05 09:50:00-04:00,SBGI,positive
1116690.0,"Wells Fargo Maintains Underweight on Sinclair Broadcast Group, Raises Price Target to $13",2020-05-07 10:27:00-04:00,SBGI,positive
1116691.0,Sinclair To Pay The Heaviest Penalty By A Broadcaster In FCC History,2020-05-06 23:41:00-04:00,SBGI,negative
1116692.0,Recap: Sinclair Broadcast Group Q1 Earnings,2020-05-06 08:58:00-04:00,SBGI,neutral
1116693.0,Sinclair Broadcast Group shares are trading higher after the company reported Q1 earnings results.,2020-05-06 08:53:00-04:00,SBGI,positive
1116694.0,"Sinclair Broadcast Group Sees Q2 Sales $1.398B-$1.44B, Adj. EBITDA $297M-$335M",2020-05-06 07:34:00-04:00,SBGI,neutral
1116695.0,"Sinclair Broadcast Group Q1 GAAP EPS $1.35 Including $0.18 Adjustment, Adj. EBITDA $281M, Up From $166M In Same Qtr. Last Year, Sales $1.609B Miss $1.650B Estimate",2020-05-06 07:34:00-04:00,SBGI,negative
1116696.0,"B. Riley FBR Maintains Neutral on Sinclair Broadcast Group, Lowers Price Target to $17",2020-05-05 08:02:00-04:00,SBGI,negative
1116697.0,72 Biggest Movers From Yesterday,2020-05-05 04:29:00-04:00,SBGI,neutral
1116698.0,"UPDATE: Wells Fargo Downgrades Sinclair Broadcast To Underweight, Lowers Target To $11 Notes 'Cord cutting accel'ing, SBGI most exposed'; 'Trouble ahead for Diamond'; 'RSNs may dilute retrans'",2020-05-04 11:48:00-04:00,SBGI,negative
1116699.0,Sinclair Broadcast Group shares are trading lower after Wells Fargo downgraded the stock from Equal-Weight to Underweight and lowered its price target from $16 to $11 per share.,2020-05-04 08:55:00-04:00,SBGI,positive
1116700.0,10 Biggest Price Target Changes For Monday,2020-05-04 08:17:00-04:00,SBGI,neutral
1116701.0,"Wells Fargo Downgrades Sinclair Broadcast Group to Underweight, Lowers Price Target to $11",2020-05-04 07:17:00-04:00,SBGI,positive
1116702.0,"Guggenheim Maintains Buy on Sinclair Broadcast Group, Lowers Price Target to $26",2020-04-30 11:10:00-04:00,SBGI,negative
1116703.0,Shares of several communication companies are trading lower amid overall market weakness stemming from the coronavirus pandemic which has caused a decrease in economic activity.,2020-04-15 12:05:00-04:00,SBGI,negative
1116704.0,"Shares of several communication companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",2020-04-08 11:13:00-04:00,SBGI,positive
1116705.0,"Sinclair Broadcast Reports Upgrade Of Digital Channels Comet, Charge!, TBD With Added Programming",2020-04-02 14:47:00-04:00,SBGI,neutral
1116706.0,"Nielsen, Sinclair Broadcast Report Multi-Year Renewal Deal For All Of Sinclair's 191 Local TV Stations, 1 Regional Cable News Channel In 89 Markets, 22 Sports Brands, No Terms Disclosed",2020-04-02 06:03:00-04:00,SBGI,negative
1116707.0,"Notable Insider Buys In The Past Week: AutoZone, Exxon, Dell And More",2020-03-21 16:58:00-04:00,SBGI,neutral
1116708.0,"Benzinga's Top Upgrades, Downgrades For March 18, 2020",2020-03-18 09:53:00-04:00,SBGI,positive
1116709.0,"B. Riley FBR Downgrades Sinclair Broadcast Group to Neutral, Lowers Price Target to $22",2020-03-18 07:33:00-04:00,SBGI,negative
1116710.0,TV Networks Face Huge Drop In Key Programming Category: Live Sports,2020-03-13 13:41:00-04:00,SBGI,positive
1116711.0,Shares of several communication and media companies are trading higher as the market rebounds following Thursday's selloff. NOTE: Since the coronavirus outbreak the healthcare sector has been extremely volatile.,2020-03-13 09:53:00-04:00,SBGI,positive
1116712.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,SBGI,negative
1116713.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,SBGI,negative
1116714.0,"Sinclair Broadcast Group Reaches Deal With YouTube TV, Will Continue To Carry 19 Of Its 21 Fox Regional Sports Networks",2020-03-05 10:13:00-05:00,SBGI,positive
1116715.0,Sinclair Broadcasting Reaffirms Q1 Sales Guidance,2020-03-02 08:48:00-05:00,SBGI,neutral
1116716.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,SBGI,negative
1116717.0,"Benchmark Maintains Buy on Sinclair Broadcast Group, Lowers Price Target to $40",2020-02-27 09:28:00-05:00,SBGI,negative
1116718.0,"B. Riley FBR Maintains Buy on Sinclair Broadcast Group, Lowers Price Target to $35",2020-02-27 07:18:00-05:00,SBGI,negative
1116719.0,95 Biggest Movers From Yesterday,2020-02-27 05:18:00-05:00,SBGI,neutral
1116720.0,75 Stocks Moving In Wednesday's Mid-Day Session,2020-02-26 12:18:00-05:00,SBGI,neutral
1116721.0,Stocks That Hit 52-Week Lows On Wednesday,2020-02-26 11:14:00-05:00,SBGI,negative
1116722.0,"CORRECTION: Sinclair Broadcast Group Shares Lower For The Session; A Prior Headline Suggested Shares Were Higher, This Was Incorrect",2020-02-26 10:40:00-05:00,SBGI,positive
1116723.0,Sinclair Broadcast Group shares are trading lower after the company reported worse-than-expected Q4 EPS results.,2020-02-26 10:10:00-05:00,SBGI,neutral
1116724.0,"Sinclair Broadcast Group Q4 GAAP EPS $0.47, Adj. EPS $0.94 vs $1.03 Estimate, Sales $1.62B Inline",2020-02-26 07:38:00-05:00,SBGI,neutral
1116725.0,"Earnings Scheduled For February 26, 2020",2020-02-26 04:38:00-05:00,SBGI,neutral
1116726.0,Stocks That Hit 52-Week Lows On Monday,2020-02-10 10:28:00-05:00,SBGI,negative
1116727.0,Sinclair Broadcast Group shares are trading lower. Not seeing any news to justify the price action.,2020-02-07 11:18:00-05:00,SBGI,neutral
1116728.0,Stocks That Hit 52-Week Lows On Thursday,2020-01-30 10:54:00-05:00,SBGI,negative
1116729.0,Political Ad Spending To Boost Broadcast Companies In 2020 Race,2020-01-30 10:10:00-05:00,SBGI,positive
1116730.0,Sinclair Broadcast Group And Nexstar Media Group Agreed To Settle Outstanding Lawsuit Between Company And Tribune Media Company,2020-01-27 17:06:00-05:00,SBGI,positive
1116731.0,"Sinclair Broadcast Group Option Alert: Jan, 2021 $40 Calls Sweep (2) near the Ask: 2200 @ $1.875 vs 169 OI; Earnings 2/26 Before Open Ref=$31.03",2020-01-09 15:21:00-05:00,SBGI,positive
1116732.0,"JP Morgan Reinstates Neutral on Sinclair Broadcast Group, Announces $37 Price Target",2019-12-13 09:57:00-05:00,SBGI,positive
1116733.0,Sinclair Broadcast Group Names Rob Weisbord As President Of Its Local News & Marketing Services Division,2019-11-18 11:31:00-05:00,SBGI,negative
1116734.0,Sinclair Broadcast Group Sees Q4 Sales $1.604B-$1.625B vs $1.73B Estimate; FY19 Sales $4.221B-$4.243B vs $4.5B Est.,2019-11-06 09:27:00-05:00,SBGI,neutral
1116735.0,"Sinclair Broadcast Group Q3 EPS $(0.64) Does Not Compare To $0.35 Estimate, Sales $1.13B Beat $750.51M Estimate",2019-11-06 07:43:00-05:00,SBGI,neutral
1116736.0,"UPDATE: Sinclair Broadcast Says Multi-Year Deal For DIRECTV, AT&T TV, U-verse For Continued Carriage On Owned Local Broadcast Stations, Tennis Channe;, Marquee Sports Network, More",2019-10-17 10:27:00-04:00,SBGI,neutral
1116737.0,Sinclair Broadcasting Shares Pullback From Highs Amid News Co. Has Reached A Deal With AT&T,2019-10-17 10:26:00-04:00,SBGI,positive
1116738.0,"Wells Fargo Initiates On Media Stocks, Disney Among Top Picks",2019-09-24 11:27:00-04:00,SBGI,positive
1116739.0,"UPDATE: Wells Fargo On Sinclair Broadcast Group Also Notes 'With a negative house view on sports assets and a stock in transition, we're more comfortable sitting on the sidelines on SBGI until the dust settles'",2019-09-24 10:37:00-04:00,SBGI,positive
