Unnamed: 0,title,date,stock,sentiment
1122143.0,SCYNEXIS Q1 EPS $(0.070) Up From $(0.460) YoY,2020-05-11 09:02:00-04:00,SCYX,neutral
1122144.0,SCYNEXIS Highlights 6 Abstracts Published By ECCMID Related To Potential Clinical Utility Of Ibrexafungerp,2020-05-06 08:13:00-04:00,SCYX,neutral
1122145.0,"Aegis Capital Maintains Buy on SCYNEXIS, Raises Price Target to $4.5",2020-04-23 12:40:00-04:00,SCYX,neutral
1122146.0,20 Healthcare Stocks Moving In Thursday's Pre-Market Session,2020-04-23 07:31:00-04:00,SCYX,neutral
1122147.0,SCYNEXIS Shares To Resume Trade At 7:30 a.m. EDT,2020-04-21 07:11:00-04:00,SCYX,positive
1122148.0,SCYNEXIS Announces Ibrexafungerp  Achieved Statistically Significant Superiority Over Placebo For Primary And Key Secondary Study Endpoints,2020-04-21 07:03:00-04:00,SCYX,positive
1122149.0,"SCYNEXIS Shares Halted, News Pending",2020-04-21 07:01:00-04:00,SCYX,positive
1122150.0,"SCYNEXIS, Aspire Capital Report $20M Common Stock Purchase Deal",2020-04-13 08:54:00-04:00,SCYX,neutral
1122151.0,"The Week Ahead In Biotech: Urogen FDA Decision, Amarin, J&J Earnings And More COVID-19 Updates",2020-04-12 10:05:00-04:00,SCYX,neutral
1122152.0,"The Daily Biotech Pulse: Pfizer's Eczema Drug Aces Latestage Study, Orphan Drug Designation For Dicerna, Dyadic's COVID-19 Connection",2020-03-19 07:37:00-04:00,SCYX,neutral
1122153.0,"The Daily Biotech Pulse: Setback For DBV In Peanut Allergy Patch Review, Roche Starts Coronavirus Test Shipment, Regeneron Aims For 'Cocktail' COVID-19 Treatment",2020-03-17 08:48:00-04:00,SCYX,neutral
1122154.0,"The Daily Biotech Pulse: Roche Obtains FDA Emergency Use Authorization For COVID-19 Test, Chembio Appoints New CEO, Inovio Slumps On Earnings",2020-03-13 07:52:00-04:00,SCYX,negative
1122155.0,"SCYNEXIS Reports Preclinical Data On Ibrexafungerp, Azoles Against Aspergillus Presented At Advances Against Aspergillosis and Mucormycosis Conference",2020-03-05 08:12:00-05:00,SCYX,neutral
1122156.0,SCYNEXIS Completes Patient Enrollment Ahead Of ScheduleIn Second Pivotal Phase 3 Study Of Oral Ibrexafungerp For The Treatment Of Vulvovaginal Candidiasis,2020-02-13 08:16:00-05:00,SCYX,neutral
1122157.0,18 Drug Manufacturers—Specialty & Generic Stocks Moving In Wednesday's Session,2020-01-22 13:28:00-05:00,SCYX,neutral
1122158.0,50 Healthcare Stocks Moving In Wednesday's Pre-Market Session,2020-01-08 08:31:00-05:00,SCYX,neutral
1122159.0,"SCYNEXIS Announces Results From Second Interim Analysis Of Ongoing Phase 3 FURI Study, Demonstrating Oral Ibrexafungerp's Ability To Treat Severe Fungal Infections In The Hospital Setting",2020-01-08 07:37:00-05:00,SCYX,positive
1122160.0,30 Healthcare Stocks Moving In Wednesday's Pre-Market Session,2019-12-18 08:11:00-05:00,SCYX,neutral
1122161.0,19 Healthcare Stocks Moving In Tuesday's Pre-Market Session,2019-12-17 07:57:00-05:00,SCYX,neutral
1122162.0,"Scynexis CEO Taglietti Buys 333,334 @ Avg Price: $0.45",2019-12-16 15:14:00-05:00,SCYX,neutral
1122163.0,41 Healthcare Stocks Moving In Tuesday's Pre-Market Session,2019-12-10 08:10:00-05:00,SCYX,neutral
1122164.0,"The Daily Biotech Pulse: ASH Meeting Wraps, Fast Track Designation For Equillium, Pfizer To Buy $3M In ContraFect Shares",2019-12-10 07:56:00-05:00,SCYX,positive
1122165.0,SCYNEXIS Q3 EPS $(0.14) Down From $0.01 YoY,2019-11-12 08:45:00-05:00,SCYX,neutral
