Unnamed: 0,title,date,stock,sentiment
1123975.0,"Oppenheimer Maintains Outperform on SEI Investments, Lowers Price Target to $58",2020-04-24 09:02:00-04:00,SEIC,negative
1123976.0,"SEI Investments Q1 EPS $0.720 Misses $0.770 Estimate, Sales $414.762M Beat $409.120M Estimate",2020-04-23 16:02:00-04:00,SEIC,negative
1123977.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,SEIC,negative
1123978.0,SEI Investments Adds $250M To Buyback,2020-03-18 14:58:00-04:00,SEIC,neutral
1123979.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,SEIC,negative
1123980.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-12 11:45:00-05:00,SEIC,neutral
1123981.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-06 10:39:00-05:00,SEIC,neutral
1123982.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-04 10:18:00-05:00,SEIC,neutral
1123983.0,Stocks That Hit 52-Week Highs On Monday,2020-02-03 11:44:00-05:00,SEIC,neutral
1123984.0,"SEI Investments Q4 EPS $0.84 Misses $0.85 Estimate, Sales $423.225M Beat $422.42M Estimate",2020-01-29 16:05:00-05:00,SEIC,negative
1123985.0,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,SEIC,neutral
1123986.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-18 10:43:00-05:00,SEIC,neutral
1123987.0,Stocks That Hit 52-Week Highs On Friday,2019-12-13 11:19:00-05:00,SEIC,neutral
1123988.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,SEIC,neutral
1123989.0,"SEI Renews Strategic Partnership With Association Of Governing Boards Of Universities Of Colleges, No Terms Disclosed",2019-12-04 09:32:00-05:00,SEIC,negative
1123990.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-27 10:14:00-05:00,SEIC,neutral
1123991.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-26 11:03:00-05:00,SEIC,neutral
1123992.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-21 10:39:00-05:00,SEIC,neutral
1123993.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-07 10:16:00-05:00,SEIC,neutral
1123994.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-05 11:12:00-05:00,SEIC,neutral
1123995.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,SEIC,neutral
1123996.0,"SEI Investments Q3 EPS $0.86 Beats $0.83 Estimate, Sales $416.25M Beat $415.52M Estimate",2019-10-23 16:01:00-04:00,SEIC,neutral
1123997.0,"SEI Investments Q2 EPS $0.82 Beats $0.79 Estimate, Sales $409.586M Miss $412.28M Estimate",2019-07-24 16:57:00-04:00,SEIC,negative
1123998.0,"SEI Investments Q1 EPS $0.73 Misses $0.74 Estimate, Sales $400.82M Miss $401.48M Estimate",2019-04-24 17:38:00-04:00,SEIC,negative
1123999.0,Keefe Bruyette & Woods Downgrades SEI Investments to Market Perform,2019-04-15 07:00:00-04:00,SEIC,neutral
1124000.0,SEI Reports Expansion Of Relationship With BMO Financial,2019-03-07 09:07:00-05:00,SEIC,neutral
1124001.0,"SEI Reports Added 9 Clients, $1.1B In New Global Institutional Assets During Q4",2019-02-14 10:15:00-05:00,SEIC,positive
1124002.0,"SEI Investments Q4 EPS $0.73 Misses $0.74 Estimate, Sales $405.057M Beat $404.29M Estimate",2019-01-30 16:23:00-05:00,SEIC,negative
1124003.0,SEI Investments Company Adds $250M To Buyback,2018-12-11 16:03:00-05:00,SEIC,neutral
1124004.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,SEIC,negative
