Unnamed: 0,title,date,stock,sentiment
1150285.0,Stocks That Hit 52-Week Highs On Friday,2020-05-29 10:36:00-04:00,SLP,neutral
1150286.0,65 Biggest Movers From Yesterday,2020-05-29 05:35:00-04:00,SLP,neutral
1150287.0,48 Stocks Moving In Thursday's Mid-Day Session,2020-05-28 12:28:00-04:00,SLP,neutral
1150288.0,Stocks That Hit 52-Week Highs On Thursday,2020-05-28 10:39:00-04:00,SLP,neutral
1150289.0,Simulations Plus Reports $400K 3-Year Grant By FDA For Development Of Physiologically-Based Phamacokinetics/Pharmacodynamics Approaches To Support Interspecies Translation For Ocular Drug Delivery In GastroPlus,2020-05-28 08:33:00-04:00,SLP,positive
1150290.0,Simulations Plus Receives New Grant Award From FDA For Ophthalmic Drug,2020-05-28 08:31:00-04:00,SLP,positive
1150291.0,Simulation Plus Reports FDA Renews Software Licenses For Its DILIsym Services Unit,2020-05-06 08:34:00-04:00,SLP,neutral
1150292.0,Stocks That Hit 52-Week Highs On Friday,2020-04-24 10:33:00-04:00,SLP,neutral
1150293.0,"Simulations Plus Q2 EPS $0.120 Misses $0.140 Estimate, Sales $10.300M Beat $9.860M Estimate",2020-04-09 16:35:00-04:00,SLP,negative
1150294.0,"Earnings Scheduled For April 9, 2020",2020-04-09 04:42:00-04:00,SLP,neutral
1150295.0,"Simulations Plus Reports New Collaboration Deal With Large Pharma Co. To Advance Its ADMET Predictor Machine Learning Software, No Terms Disclosed",2020-04-07 08:31:00-04:00,SLP,negative
1150296.0,"Simulations Plus Reports Purchase Of Lixoft For $16.5M In Cash, Stock",2020-04-02 08:43:00-04:00,SLP,neutral
1150297.0,Simulations Plus Reports Establishment Of StratgiesPlus Coronavirus ACT Program 'to speed consulting assistance to any organization involved in coronavirus research',2020-03-26 13:47:00-04:00,SLP,neutral
1150298.0,55 Biggest Movers From Friday,2020-01-13 05:17:00-05:00,SLP,neutral
1150299.0,40 Stocks Moving In Friday's Mid-Day Session,2020-01-10 12:29:00-05:00,SLP,neutral
1150300.0,33 Stocks Moving in Friday's Pre-Market Session,2020-01-10 07:26:00-05:00,SLP,neutral
1150301.0,"Simulations Plus Q1 EPS $0.11 Beats $0.1 Estimate, Sales $9.401M Beat $8.61M Estimate",2020-01-09 16:09:00-05:00,SLP,neutral
1150302.0,"Earnings Scheduled For January 9, 2020",2020-01-09 04:44:00-05:00,SLP,neutral
1150303.0,"Benzinga's Top Upgrades, Downgrades For January 6, 2020",2020-01-06 12:42:00-05:00,SLP,positive
1150304.0,"Craig-Hallum Initiates Coverage On Simulations Plus with Buy Rating, Announces $40 Price Target",2020-01-06 09:45:00-05:00,SLP,neutral
1150305.0,"Simulations Plus Reports Partnership, New Funded Collaboration With Large Pharma Co. To Enhance PKPlus Software, No Terms Disclosed",2019-11-21 08:40:00-05:00,SLP,negative
1150306.0,Simulations Plus Partners With Pharmaceutical Company To 'Enhance the Mechanistic Oral Absorption Model' In GastroPlus,2019-11-14 08:45:00-05:00,SLP,neutral
1150307.0,"Simulations Plus Q4 EPS $0.11 Up From $0.07 YoY, Sales $8.026M Beat $7.51M Estimate",2019-11-13 16:23:00-05:00,SLP,neutral
1150308.0,84 Biggest Movers From Yesterday,2019-09-10 05:01:00-04:00,SLP,neutral
1150309.0,44 Stocks Moving In Monday's Mid-Day Session,2019-09-09 12:21:00-04:00,SLP,neutral
1150310.0,30 Stocks Moving in Monday's Pre-Market Session,2019-09-09 07:57:00-04:00,SLP,neutral
1150311.0,82 Biggest Movers From Friday,2019-08-05 05:40:00-04:00,SLP,neutral
1150312.0,60 Stocks Moving In Friday's Mid-Day Session,2019-08-02 13:43:00-04:00,SLP,neutral
1150313.0,"Jim Cramer Advises His Viewers On Colgate-Palmolive, Banco Santander And More",2019-08-01 11:07:00-04:00,SLP,neutral
1150314.0,New Equities that Broke Through 52-Week Highs Monday Morning,2019-07-29 10:13:00-04:00,SLP,negative
1150315.0,Companies That Achieved 52-Week Highs Friday,2019-07-26 15:37:00-04:00,SLP,neutral
1150316.0,"Top 10 Most Overbought Stocks Via Benzinga Pro's Screener Tool For Fri., July 26, 2019",2019-07-26 14:22:00-04:00,SLP,positive
1150317.0,58 Biggest Movers From Yesterday,2019-07-19 05:02:00-04:00,SLP,neutral
1150318.0,42 Stocks Moving In Thursday's Mid-Day Session,2019-07-18 12:57:00-04:00,SLP,neutral
1150319.0,Simulations Plus Enters Into New Research Collaboration Agreement With The FDA,2019-07-16 08:33:00-04:00,SLP,positive
1150320.0,55 Biggest Movers From Yesterday,2019-07-12 05:18:00-04:00,SLP,neutral
1150321.0,48 Stocks Moving In Thursday's Mid-Day Session,2019-07-11 12:50:00-04:00,SLP,neutral
1150322.0,Simulations Plus shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,2019-07-11 11:08:00-04:00,SLP,positive
1150323.0,35 Stocks Moving In Thursday's Pre-Market Session,2019-07-11 08:21:00-04:00,SLP,neutral
1150324.0,Simulations Plus shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,2019-07-10 16:19:00-04:00,SLP,positive
1150325.0,"Simulations Plus Q3 EPS $0.16 Beats $0.14 Estimate, Sales $9.937M Beat $9.84M Estimate",2019-07-10 16:14:00-04:00,SLP,neutral
1150326.0,"Earnings Scheduled For July 10, 2019",2019-07-10 04:08:00-04:00,SLP,neutral
1150327.0,"Simulations Plus Reports Received Order From FDA For 15-User License To ADMET Predictor Software Suite, No Terms Disclosed",2019-04-30 08:35:00-04:00,SLP,negative
1150328.0,46 Biggest Movers From Yesterday,2019-04-11 05:09:00-04:00,SLP,neutral
1150329.0,33 Stocks Moving In Wednesday's Mid-Day Session,2019-04-10 13:17:00-04:00,SLP,neutral
1150330.0,Simulations Plus shares trading higher following strong Q2 results.,2019-04-10 13:05:00-04:00,SLP,positive
1150331.0,26 Stocks Moving In Wednesday's Pre-Market Session,2019-04-10 08:05:00-04:00,SLP,neutral
1150332.0,"A Peek Into The Markets: US Stock Futures Climb Ahead Of CPI, Fed Minutes",2019-04-10 07:19:00-04:00,SLP,neutral
