Unnamed: 0,title,date,stock,sentiment
1178436.0,"Morgan Stanley Maintains Underweight on Spire, Lowers Price Target to $70",2020-05-15 09:17:00-04:00,SR,negative
1178437.0,"CFRA Maintains Buy on Spire, Lowers Price Target to $77",2020-05-13 12:26:00-04:00,SR,negative
1178438.0,"Wells Fargo Maintains Equal-Weight on Spire, Lowers Price Target to $82",2020-05-11 10:52:00-04:00,SR,positive
1178439.0,"Credit Suisse Maintains Underperform on Spire, Raises Price Target to $71",2020-05-11 08:52:00-04:00,SR,positive
1178440.0,"Credit Suisse Maintains Underperform on Spire, Lowers Price Target to $69",2020-05-08 10:43:00-04:00,SR,positive
1178441.0,Recap: Spire Q2 Earnings,2020-05-08 09:02:00-04:00,SR,neutral
1178442.0,"Spire Q2 EPS $2.750 Misses $2.950 Estimate, Sales $75.000M Miss $783.020M Estimate",2020-05-08 07:21:00-04:00,SR,negative
1178443.0,"Earnings Scheduled For May 8, 2020",2020-05-08 04:20:00-04:00,SR,neutral
1178444.0,"Morgan Stanley Maintains Underweight on Spire, Raises Price Target to $77",2020-04-15 10:38:00-04:00,SR,neutral
1178445.0,Shares of several energy and utilities companies are trading higher as markets rebound following Monday's crash.,2020-03-17 13:20:00-04:00,SR,positive
1178446.0,Guggenheim Earlier Upgraded Spire to Neutral,2020-03-16 12:51:00-04:00,SR,neutral
1178447.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,SR,negative
1178448.0,"Morgan Stanley Maintains Underweight on Spire, Lowers Price Target to $74",2020-03-12 08:16:00-04:00,SR,negative
1178449.0,"JP Morgan Maintains Underweight on Spire, Raises Price Target to $82",2020-02-18 08:27:00-05:00,SR,positive
1178450.0,"Spire Q1 EPS $1.33 Beats $1.28 Estimate, Sales $566.9M Miss $587.11M Estimate",2020-02-05 08:40:00-05:00,SR,negative
1178451.0,"Earnings Scheduled For February 5, 2020",2020-02-05 04:26:00-05:00,SR,neutral
1178452.0,"Morgan Stanley Maintains Underweight on Spire, Raises Price Target to $83",2020-01-22 09:46:00-05:00,SR,neutral
1178453.0,"Morgan Stanley Maintains Underweight on Spire, Raises Price Target to $80",2020-01-14 09:31:00-05:00,SR,neutral
1178454.0,Guggenheim Downgrades Spire to Sell,2020-01-08 06:24:00-05:00,SR,neutral
1178455.0,"Bank of America Reinstates Buy on Spire, Announces $89 Price Target",2020-01-07 10:18:00-05:00,SR,neutral
1178456.0,Spire shares are trading lower after the company announced it would postpone its earnings conference call.,2019-11-20 15:02:00-05:00,SR,negative
1178457.0,Spire to Postpone Its Earnings Conference Call,2019-11-20 04:32:00-05:00,SR,negative
1178458.0,"Earnings Scheduled For November 20, 2019",2019-11-20 04:19:00-05:00,SR,neutral
1178459.0,"Morgan Stanley Maintains Underweight on Spire, Lowers Price Target to $81",2019-11-08 08:55:00-05:00,SR,negative
1178460.0,"Wells Fargo Maintains Market Perform on Spire, Raises Price Target to $90",2019-09-06 09:53:00-04:00,SR,positive
1178461.0,"Wells Fargo Maintains Market Perform on Spire, Lowers Price Target to $88",2019-08-09 09:08:00-04:00,SR,positive
1178462.0,"Spire Inc. Q3 Adj. EPS $0.07 Misses $0.12 Estimate, Sales $321.3M Miss $333.14M Estimate",2019-07-30 07:18:00-04:00,SR,negative
1178463.0,"Wells Fargo Downgrades Spire Inc. Common Stock to Market Perform, Announces $92 Price Target",2019-05-24 09:18:00-04:00,SR,positive
1178464.0,Wells Fargo Downgrades Spire Inc. Common Stock to Market Perform,2019-05-24 07:23:00-04:00,SR,positive
1178465.0,Spire Filing Shows Registration For $150M Common Stock Offering,2019-05-14 17:05:00-04:00,SR,neutral
1178466.0,Spire Inc Files For Potential Mixed Shelf Offering; Size Not Disclosed,2019-05-14 09:49:00-04:00,SR,neutral
1178467.0,Spire Reaffirms FY19 EPS $3.70-$3.80 vs $3.72 Estimate,2019-05-01 08:00:00-04:00,SR,neutral
1178468.0,"Spire Inc. Common Stock Q2 Economic EPS $2.9 Beats $2.57 Estimate, Sales $803.5M Beat $788.45M Estimate",2019-05-01 07:59:00-04:00,SR,neutral
1178469.0,S&P Dow Jones Indices Late Friday Announced Atmos Energy Will Join S&P 500; Spire To Join S&P MidCap 400; NorthStar Realty Europe To Join S&P SmallCap 600,2019-02-11 09:15:00-05:00,SR,positive
1178470.0,"Spire Inc. Common Stock Q1 EPS $1.30, Inline, Sales $602M Miss $602.32M Estimate",2019-02-06 06:58:00-05:00,SR,negative
1178471.0,"Earnings Scheduled For February 6, 2019",2019-02-06 04:10:00-05:00,SR,neutral
1178472.0,"Benzinga's Top Upgrades, Downgrades For January 23, 2019",2019-01-23 09:14:00-05:00,SR,positive
1178473.0,"Credit Suisse Downgrades Spire to Underperform, Lowers Price Target to $72",2019-01-23 06:53:00-05:00,SR,positive
1178474.0,Guggenheim Downgrades Spire to Neutral,2019-01-07 09:28:00-05:00,SR,neutral
1178475.0,"Stocks Trading Ex Dividend For Mon., Dec. 10, 2018",2018-12-10 10:59:00-05:00,SR,neutral
1178476.0,"Credit Suisse Maintains Neutral on Spire, Raises Price Target to $74",2018-11-19 10:05:00-05:00,SR,positive
1178477.0,Spire Sees FY19 EPS $3.70-$3.80 vs $3.70 Estimate,2018-11-15 07:15:00-05:00,SR,neutral
1178478.0,"Spire Inc. Common Stock Q4 EPS $(0.52) Beats $(0.59) Estimate, Sales $239.2M Beat $235.35M Estimate",2018-11-15 07:15:00-05:00,SR,neutral
1178479.0,"Earnings Scheduled For November 15, 2018",2018-11-15 04:54:00-05:00,SR,neutral
1178480.0,"Stocks Trading Ex Dividend For Mon., Sep. 10, 2018",2018-09-10 09:47:00-04:00,SR,neutral
1178481.0,"Stocks That Will Be Trading Ex Dividend Mon., Sep. 10, 2018",2018-09-07 11:00:00-04:00,SR,neutral
1178482.0,Spire Inc. Sees FY18 Adj. EPS $3.65-$3.75 vs $3.70 Est.,2018-08-02 09:02:00-04:00,SR,neutral
1178483.0,"Spire Inc. Common Stock Q3 Adj. EPS $0.31 Beats $0.26 Estimate, Sales $350.6M Beat $305.84M Estimate",2018-08-02 09:01:00-04:00,SR,neutral
1178484.0,The Original Dow Jones Industrial Average: Where Are They Now?,2018-06-20 10:41:00-04:00,SR,positive
1178485.0,"Benzinga's Top Upgrades, Downgrades For June 15, 2018",2018-06-15 09:05:00-04:00,SR,positive
1178486.0,Wells Fargo Upgrades Spire to Outperform,2018-06-15 07:07:00-04:00,SR,positive
1178487.0,Spire Prices 2M Share Public Offering of Common Stock at $68.75/Share,2018-05-08 03:32:00-04:00,SR,positive
1178488.0,"BofA Downgrades Spire On Lower Estimates, Valuation",2018-05-04 15:19:00-04:00,SR,negative
1178489.0,Bank of America Downgrades Spire to Neutral,2018-05-04 08:33:00-04:00,SR,neutral
1178490.0,Spire Sees  FY18 EPS $3.65-$3.75 vs $2.3.74 Est.,2018-05-02 07:03:00-04:00,SR,neutral
1178491.0,"Spire Inc. Common Stock Q2 EPS $2.83 Beats $2.43 Estimate, Sales $813.4M Beat $676.29M Estimate",2018-05-02 07:03:00-04:00,SR,neutral
1178492.0,"Bank of America Reinstates Buy on Spire, Announces $75.00",2018-03-26 09:21:00-04:00,SR,neutral
1178493.0,"Morgan Stanley Maintains Underweight on Spire, Raises Price Target to $68.00",2018-03-08 09:36:00-05:00,SR,neutral
1178494.0,Credit Suisse Upgrades Spire to Outperform,2018-02-26 09:18:00-05:00,SR,positive
1178495.0,"Morgan Stanley Maintains Underweight on Spire, Lowers price target to $65.00",2018-02-13 08:29:00-05:00,SR,negative
1178496.0,"Spire Reports Q1 Adj. EPS $1.19 vs $1.06 Est., Operating Sales $561.8M vs $505M Est.",2018-02-01 07:07:00-05:00,SR,neutral
1178497.0,Spire Increases Qtr. Dividend 7.1% To $0.5625/Share,2017-11-15 07:02:00-05:00,SR,neutral
1178498.0,"Spire Reports Quarter Ended EPS $(0.28) vs $(0.26) Est., Sales $258.7M vs $278.7M Est.",2017-11-15 07:02:00-05:00,SR,neutral
1178499.0,"Earnings Scheduled For November 15, 2017",2017-11-15 04:03:00-05:00,SR,neutral
1178500.0,Spire Sees FY17 Net Economic Earnings Of $3.50-$3.60 vs $3.53 Est.,2017-08-02 07:21:00-04:00,SR,neutral
1178501.0,"Spire Reports Q3 EPS $0.44 vs $0.39 Est., Sales $323.5M vs $295M Est.",2017-08-02 07:20:00-04:00,SR,neutral
1178502.0,Spire Sees FY 2017 EPS $3.50 to $3.60 vs $3.52 Est,2017-05-03 07:23:00-04:00,SR,neutral
1178503.0,"Spire Q2 EPS $2.38 vs $2.37 Est, Sales $663.4M vs $701.0M Est",2017-05-03 07:22:00-04:00,SR,neutral
1178504.0,Spire Sees FY17 EPS $3.50-$3.60 vs. Est. 3.55,2017-02-01 07:05:00-05:00,SR,neutral
1178505.0,"Spire Reports Q1 Adj. EPS $1.04 vs. Est. $1.07, Rev. $495M vs. Est. $475M",2017-02-01 07:04:00-05:00,SR,neutral
1178506.0,"Credit Suisse Initiates Coverage On Spire At Neutral, Announces $68 Price Target",2017-01-25 08:42:00-05:00,SR,positive
1178507.0,"Natural Gas Utilities Down Early: Vectren 2.5%, WGL 2%, Atmos 1.8%, Southwestern 1%, Northwest 1%, Spire 1%",2016-11-30 09:48:00-05:00,SR,positive
1178508.0,"Top Performing Industries For November 25, 2016",2016-11-25 10:57:00-05:00,SR,positive
1178509.0,Spire Sees FY 2017 EPS $3.50 to $3.60 vs $3.54 Est,2016-11-15 07:03:00-05:00,SR,neutral
1178510.0,"Spire Q4 EPS $(0.31) vs $(0.32) Est, Revenue $279.3M vs $219.3M Est",2016-11-15 07:03:00-05:00,SR,neutral
1178511.0,"Earnings Scheduled For November 15, 2016",2016-11-15 04:00:00-05:00,SR,neutral
