Unnamed: 0,title,date,stock,sentiment
1184217.0,"Shares of several industrials companies are trading lower with the overall market as coronavirus cases increase in some US states that have reopened, leading to concerns of a second wave of the virus.",2020-06-11 10:25:00-04:00,ST,positive
1184218.0,Shares of several industrial companies are trading higher following strong US jobs numbers and continued optimism surrounding the reopening of the US economy. These have lead to hopes of an economic rebound and an uptick in production/shipping activity.,2020-06-05 10:18:00-04:00,ST,positive
1184219.0,Shares of several industrial companies are trading higher after as equities continue to gain on optimism over an economic reopening which could potentially increase consumer spending and sales demand as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 10:25:00-04:00,ST,positive
1184220.0,"Benzinga's Top Upgrades, Downgrades For May 27, 2020",2020-05-27 09:35:00-04:00,ST,positive
1184221.0,"Morgan Stanley Upgrades Sensata Technologies to Equal-Weight, Announces $35 Price Target",2020-05-27 06:21:00-04:00,ST,neutral
1184222.0,Shares of several industrial companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:26:00-04:00,ST,positive
1184223.0,"Shares of several industrial companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine, which has raised hopes of an economic rebound.",2020-05-18 10:23:00-04:00,ST,positive
1184224.0,Shares of several technology companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies. NOTE: This could potentially be a sell-off after the S&P 500 rallied 12.7% over the past month.,2020-05-01 09:10:00-04:00,ST,negative
1184225.0,"Canaccord Genuity Maintains Buy on Sensata Technologies, Raises Price Target to $50",2020-04-30 12:41:00-04:00,ST,neutral
1184226.0,"SunTrust Robinson Humphrey Maintains Hold on Sensata Technologies, Raises Price Target to $38",2020-04-30 12:27:00-04:00,ST,neutral
1184227.0,"Wells Fargo Maintains Equal-Weight on Sensata Technologies, Raises Price Target to $42",2020-04-30 11:55:00-04:00,ST,positive
1184228.0,"BMO Capital Maintains Market Perform on Sensata Technologies, Lowers Price Target to $40",2020-04-30 10:39:00-04:00,ST,negative
1184229.0,"Citigroup Maintains Neutral on Sensata Technologies, Raises Price Target to $39",2020-04-30 09:50:00-04:00,ST,neutral
1184230.0,"Sensata Technologies Q1 Adj. EPS $0.530 Misses $0.560 Estimate, Sales $774.269M Beat $773.120M Estimate",2020-04-29 06:13:00-04:00,ST,negative
1184231.0,Shares of several technology companies are trading higher. Movement appears market related as equities gain amid a rebound in oil prices.,2020-04-23 11:01:00-04:00,ST,positive
1184232.0,"Shares of several banks and financial services companies are trading lower as equities dip amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15 11:08:00-04:00,ST,negative
1184233.0,"Shares of several technology companies are trading lower as equities dip amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15 10:17:00-04:00,ST,negative
1184234.0,Shares of several technology companies are trading lower amid uncertainty around demand outlook caused by the coronavirus pandemic which has significantly staggered consumer spending and economic activity.,2020-04-13 11:39:00-04:00,ST,negative
1184235.0,10 Biggest Price Target Changes For Monday,2020-04-13 08:21:00-04:00,ST,neutral
1184236.0,"Goldman Sachs Upgrades Sensata Technologies to Buy, Lowers Price Target to $38",2020-04-13 06:01:00-04:00,ST,negative
1184237.0,"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",2020-04-07 07:45:00-04:00,ST,positive
1184238.0,"Canaccord Genuity Maintains Buy on Sensata Technologies, Lowers Price Target to $45",2020-04-03 12:19:00-04:00,ST,negative
1184239.0,"SunTrust Robinson Humphrey Maintains Hold on Sensata Technologies, Lowers Price Target to $33",2020-04-03 12:11:00-04:00,ST,negative
1184240.0,"Sensata Technologies Withdraws Q1, FY20 Guidane",2020-04-02 16:43:00-04:00,ST,neutral
1184241.0,"B of A Securities Reiterates Buy on Sensata Technologies, Lowers Price Target to $42",2020-04-02 08:19:00-04:00,ST,positive
1184242.0,"Shares of several technology, semiconductor and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus.",2020-03-27 11:30:00-04:00,ST,positive
