Unnamed: 0,title,date,stock,sentiment
1206371.0,"Shares of several technology companies are trading lower for the session amid US-China tensions after the US announced plans to block chip shipments to China's Huawei, negatively impacting names in the chip sector. Equities across sectors are lower for the session following a record drop in US retail sales.",2020-05-15 09:57:00-04:00,SYNA,negative
1206372.0,Synaptics Sees Q4 Sales $260M-$290M,2020-05-07 16:41:00-04:00,SYNA,neutral
1206373.0,"Synaptics Q3 Adj. EPS $1.490 Beats $1.410 Estimate, Sales $328.100M Miss $332.440M Estimate",2020-05-07 16:40:00-04:00,SYNA,negative
1206374.0,"Earnings Scheduled For May 7, 2020",2020-05-07 05:02:00-04:00,SYNA,neutral
1206375.0,Shares of several technology companies are trading lower amid market weakness following US jobless claims and consumer spending data.,2020-04-30 10:21:00-04:00,SYNA,negative
1206376.0,"Benzinga's Top Upgrades, Downgrades For March 31, 2020",2020-03-31 09:34:00-04:00,SYNA,positive
1206377.0,"KeyBanc Downgrades Synaptics to Sector Weight, Announces $95 Price Target",2020-03-31 06:53:00-04:00,SYNA,neutral
1206378.0,"Benzinga's Top Upgrades, Downgrades For March 20, 2020",2020-03-20 10:15:00-04:00,SYNA,positive
1206379.0,10 Biggest Price Target Changes For Friday,2020-03-20 08:20:00-04:00,SYNA,neutral
1206380.0,"JP Morgan Downgrades Synaptics to Underweight, Lowers Price Target to $40",2020-03-20 07:18:00-04:00,SYNA,positive
1206381.0,95 Biggest Movers From Friday,2020-02-10 05:20:00-05:00,SYNA,neutral
1206382.0,"UPDATE: Needham Maintains Buy on Synaptics, Raises Price Target to $100 As Firm Notes 4 Key Points:",2020-02-07 09:59:00-05:00,SYNA,neutral
1206383.0,"UPDATE: Mizuho Maintains Buy on Synaptics, Raises Price Target to $80 As Firm Sees 'LCD TDDI divestiture helping GM, traction with OLED Touch, potential opportunities with Flex OLED touch and the upcoming iPhone, and new management's focus on Opex and margins.'",2020-02-07 09:56:00-05:00,SYNA,positive
1206384.0,"UPDATE: KeyBanc Maintains Overweight on Synaptics, Raises Price Target to $95 As Firm Believes 'the co.'s acquisitions of Conexant and Marvell's multimedia business provide a meaningful opportunity for Synaptics to extend its growth into new key end markets.'",2020-02-07 09:51:00-05:00,SYNA,positive
1206385.0,10 Biggest Price Target Changes For Friday,2020-02-07 08:21:00-05:00,SYNA,neutral
1206386.0,Synaptics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. The company also issued Q3 sales guidance above estimates.,2020-02-07 08:19:00-05:00,SYNA,positive
1206387.0,"Needham Maintains Buy on Synaptics, Raises Price Target to $100",2020-02-07 07:58:00-05:00,SYNA,neutral
1206388.0,"Mizuho Maintains Buy on Synaptics, Raises Price Target to $80",2020-02-07 07:40:00-05:00,SYNA,neutral
1206389.0,46 Stocks Moving in Friday's Pre-Market Session,2020-02-07 07:25:00-05:00,SYNA,neutral
1206390.0,"KeyBanc Maintains Overweight on Synaptics, Raises Price Target to $95",2020-02-07 05:25:00-05:00,SYNA,negative
1206391.0,"JP Morgan Upgrades Synaptics to Neutral, Raises Price Target to $73",2020-02-07 05:00:00-05:00,SYNA,positive
1206392.0,29 Stocks Moving In Thursday's After-Hours Session,2020-02-06 17:23:00-05:00,SYNA,neutral
1206393.0,Synaptics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. The company also issued Q3 sales guidance above estimates.,2020-02-06 16:37:00-05:00,SYNA,positive
1206394.0,Synaptics Sees Q3 Sales $330M-$350M vs $299M Estimate,2020-02-06 16:22:00-05:00,SYNA,neutral
1206395.0,"Synaptics Q2 Adj. EPS $2.04 Beats $1.45 Estimate, Sales $388.3M Beat $354.92M Estimate",2020-02-06 16:21:00-05:00,SYNA,neutral
1206396.0,"Earnings Scheduled For February 6, 2020",2020-02-06 04:30:00-05:00,SYNA,neutral
1206397.0,Stocks That Hit 52-Week Highs On Friday,2020-01-24 10:41:00-05:00,SYNA,neutral
1206398.0,68 Technology Stocks Moving In Wednesday's Session,2020-01-22 12:43:00-05:00,SYNA,neutral
1206399.0,Stocks That Hit 52-Week Highs On Tuesday,2020-01-21 10:11:00-05:00,SYNA,neutral
1206400.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,SYNA,neutral
1206401.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,SYNA,neutral
1206402.0,"Benzinga's Top Upgrades, Downgrades For January 16, 2020",2020-01-16 10:01:00-05:00,SYNA,positive
1206403.0,Mizuho Upgrades Synaptics to Buy,2020-01-16 07:15:00-05:00,SYNA,neutral
1206404.0,Synaptics shares are trading higher after KeyBanc upgraded the company from Sector Weight to Overweight and announced a price target of $80 per share.,2020-01-03 13:14:00-05:00,SYNA,positive
1206405.0,"KeyBanc Upgrades Synaptics to Overweight, Announces $80 Price Target",2020-01-03 06:24:00-05:00,SYNA,negative
1206406.0,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,SYNA,neutral
1206407.0,Summit Insights Group Upgrades Synaptics to Buy,2019-12-19 11:49:00-05:00,SYNA,neutral
1206408.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-19 10:29:00-05:00,SYNA,neutral
1206409.0,Synaptics Reports Will Divest Mobile LCD TDDI Business To Hua Capital For $120M In Cash,2019-12-19 08:01:00-05:00,SYNA,neutral
1206410.0,Synaptics shares are trading lower after Rosenblatt downgraded the stock from Neutral to Sell and announced a price target of $45 per share.,2019-12-17 08:54:00-05:00,SYNA,positive
1206411.0,"Rosenblatt Downgrades Synaptics to Sell, Announces $45 Price Target",2019-12-17 06:58:00-05:00,SYNA,neutral
