Unnamed: 0,title,date,stock,sentiment
1210354.0,Shares of several consumer discretionary companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up. NOTE: Investors are awaiting the FOMC meeting on Wednesday.,2020-06-09 11:07:00-04:00,TAL,positive
1210355.0,Stocks That Hit 52-Week Highs On Monday,2020-06-08 11:04:00-04:00,TAL,neutral
1210356.0,"'Chinese online education provider TAL Education Group (TAL) is reportedly considering a secondary listing in HK. In response, the company said it has no such a plan when reached by NBD Monday afternoon.' -National Business Daily Tweet",2020-06-08 09:30:00-04:00,TAL,positive
1210357.0,Stocks That Hit 52-Week Highs On Friday,2020-06-05 10:30:00-04:00,TAL,neutral
1210358.0,Market Shrugs Off Potential Delisting Of Chinese Stocks,2020-06-04 12:47:00-04:00,TAL,neutral
1210359.0,Stocks That Hit 52-Week Highs On Tuesday,2020-06-02 10:33:00-04:00,TAL,neutral
1210360.0,"Shares of several consumer discretionary companies are trading higher as equities gain amid continued optimism towards a rebound in economic activity, which could lead to a potential rebound in spending.",2020-06-01 11:04:00-04:00,TAL,positive
1210361.0,Shares of several consumer discretionary companies are trading higher as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could mean a faster return to discretionary spending.,2020-05-26 12:24:00-04:00,TAL,positive
1210362.0,Shares of several Chinese companies are trading lower amid US-China tensions following recent Hong Kong measures and a US Senate bill that could potentially delist Chinese companies. China opted to not set a 2020 GDP target amid coronavirus uncertainty.,2020-05-22 10:00:00-04:00,TAL,negative
1210363.0,Shares of several consumer goods companies are trading higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,2020-05-05 12:00:00-04:00,TAL,positive
1210364.0,Shares of several consumer goods companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 11:33:00-04:00,TAL,negative
1210365.0,"JP Morgan Maintains Overweight on TAL Education, Lowers Price Target to $60",2020-04-29 09:58:00-04:00,TAL,negative
1210366.0,TAL Education: Q4 Earnings Insights,2020-04-28 06:33:00-04:00,TAL,neutral
1210367.0,"TAL Education shares are trading higher in sympathy with the overall market as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic.",2020-04-27 14:12:00-04:00,TAL,positive
1210368.0,5 Consumer Defensive Stocks Moving In Monday's Pre-Market Session,2020-04-27 07:37:00-04:00,TAL,neutral
1210369.0,"JP Morgan Maintains Overweight on TAL Education, Lowers Price Target to $61",2020-04-17 10:55:00-04:00,TAL,negative
1210370.0,China's National Business Daily Reports Chinese Investment Bank Says Incidents At Luckin Coffee And TAL Will Make It Harder For Chinese Co.s To See US IPOs,2020-04-16 07:44:00-04:00,TAL,neutral
1210371.0,"Benzinga Pro's Top 4 Stocks To Watch For Mon., Apr. 13, 2020: TAL, MWK, BIOL, ZYXI",2020-04-13 08:28:00-04:00,TAL,positive
1210372.0,Hearing CLSA Downgraded TAL Education From Outperform To Sell; Unconfirmed,2020-04-13 08:21:00-04:00,TAL,negative
1210373.0,86 Biggest Movers From Yesterday,2020-04-09 05:43:00-04:00,TAL,negative
1210374.0,PreMarket Prep Stock Of The Day: Baidu,2020-04-08 14:49:00-04:00,TAL,neutral
1210375.0,65 Stocks Moving In Wednesday's Mid-Day Session,2020-04-08 12:35:00-04:00,TAL,neutral
1210376.0,One Theme Is Popping Up Among These Chinese Companies: Fraud,2020-04-08 11:41:00-04:00,TAL,negative
1210377.0,TAL Education Reports Employee Wrongdoing Involving Sales Fraud,2020-04-08 08:09:00-04:00,TAL,negative
1210378.0,30 Stocks Moving in Wednesday's Pre-Market Session,2020-04-08 07:24:00-04:00,TAL,neutral
1210379.0,TAL Education shares are trading lower after the company reported it discovered employee wrongdoing in its internal auditing process which accounts for 3-4% of the company's total estimated sales.,2020-04-08 06:15:00-04:00,TAL,neutral
1210380.0,6 Stocks Moving In Tuesday's After-Hours Session,2020-04-07 16:41:00-04:00,TAL,neutral
1210381.0,TAL Education shares are trading lower after the company reported it discovered employee wrongdoing in its internal auditing process which accounts for 3-4% of the company's total estimated sales.,2020-04-07 16:20:00-04:00,TAL,neutral
1210382.0,"UPDATE: TAL Says Segment Affected By Employee, 'Light Class,' Accounted For 3-4% Of Co.'s Total Estimated Sales",2020-04-07 16:12:00-04:00,TAL,negative
1210383.0,TAL Education Reports Discovered Certain Employee Wrongdoing In Co.'s Routine Internal Auditing Process,2020-04-07 16:11:00-04:00,TAL,positive
1210384.0,"Shares of several consumer goods and consumer staples companies are trading higher as markets rebound from Market's crash. Additionally, investors speculate the coronavirus outbreak may lead to bulk spending on several staples.",2020-03-17 09:24:00-04:00,TAL,negative
