Unnamed: 0,title,date,stock,sentiment
1224546.0,13 Industrials Stocks Moving In Monday's Pre-Market Session,2020-05-11 07:37:00-04:00,TGH,neutral
1224547.0,70 Biggest Movers From Yesterday,2020-05-06 05:26:00-04:00,TGH,neutral
1224548.0,51 Stocks Moving In Tuesday's Mid-Day Session,2020-05-05 12:22:00-04:00,TGH,neutral
1224549.0,70 Biggest Movers From Yesterday,2020-04-17 04:53:00-04:00,TGH,neutral
1224550.0,Textainer Increases Buyback By $25M,2020-03-30 16:15:00-04:00,TGH,neutral
1224551.0,111 Biggest Movers From Yesterday,2020-03-20 04:56:00-04:00,TGH,neutral
1224552.0,92 Stocks Moving In Thursday's Mid-Day Session,2020-03-19 12:23:00-04:00,TGH,neutral
1224553.0,40 Stocks Moving in Thursday's Pre-Market Session,2020-03-19 07:37:00-04:00,TGH,neutral
1224554.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,TGH,negative
1224555.0,"Textainer Group Holdings Q4 EPS $0.19, Inline, Sales $151.555M Miss $153.1M Estimate",2020-02-11 16:11:00-05:00,TGH,negative
1224556.0,"Earnings Scheduled For February 11, 2020",2020-02-11 04:27:00-05:00,TGH,neutral
1224557.0,5 Industrial Stocks Moving In Thursday's Pre-Market Session,2020-01-02 08:05:00-05:00,TGH,neutral
1224558.0,Shares of several Industrial companies are trading higher amid a rally in US equities following strong November jobs data.,2019-12-06 10:23:00-05:00,TGH,positive
1224559.0,Textainer Group to Acquire Company Leased Assets Pool for $66M Cash,2019-12-02 09:03:00-05:00,TGH,positive
1224560.0,Cowen & Co. Downgrades Textainer Group Holdings to Market Perform,2019-11-05 06:57:00-05:00,TGH,neutral
1224561.0,"Textainer Touts Resiliency In A ""Lackluster Market Environment""",2019-11-01 10:07:00-04:00,TGH,neutral
1224562.0,"Keefe, Bruyette & Woods Reinstates Market Perform on Textainer Group Holdings, Announces $11 Price Target",2019-11-01 08:14:00-04:00,TGH,neutral
1224563.0,"Textainer Group Holdings Q3 EPS $0.22 Misses $0.32 Estimate, Sales $154.665M Miss $156.8M Estimate",2019-10-31 16:23:00-04:00,TGH,negative
1224564.0,"Shares of several industrial companies are trading lower as optimism around the upcoming U.S.-China trade talks waned. A report says China is toning down its expectations of the meeting. The U.S. expanded its trade blacklist, and scheduled an increase in tariffs on $250 billion worth of Chinese goods from 25% to 30% on Oct. 15, which will go into effect if no progress is made.",2019-10-08 10:51:00-04:00,TGH,positive
1224565.0,Keep Your Eye On Containers In Global Circulation,2019-09-24 10:03:00-04:00,TGH,neutral
1224566.0,Shares of several industrial companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the leaders of the U.S. and China are set to meet in Washington D.C in early October.,2019-09-05 14:03:00-04:00,TGH,positive
1224567.0,Textainer Reports $25M Buyback,2019-09-03 16:18:00-04:00,TGH,neutral
1224568.0,Stocks That Hit 52-Week Lows On Thursday,2019-08-15 11:29:00-04:00,TGH,negative
1224569.0,Stocks That Hit 52-Week Lows On Wednesday,2019-08-14 12:46:00-04:00,TGH,negative
1224570.0,Stocks That Hit 52-Week Lows On Tuesday,2019-08-13 11:08:00-04:00,TGH,negative
1224571.0,Stocks That Hit 52-Week Lows Of Monday,2019-08-12 11:14:00-04:00,TGH,negative
1224572.0,90 Biggest Movers From Yesterday,2019-08-08 05:17:00-04:00,TGH,neutral
1224573.0,Stocks That Fell Through 52-Week Lows Wednesday,2019-08-07 14:22:00-04:00,TGH,negative
