Unnamed: 0,title,date,stock,sentiment
1248761.0,"Shares of several consumer discretionary companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. A potential second wave could keep discretionary spending and economic activity low.",2020-06-11 10:41:00-04:00,TPX,positive
1248762.0,"Shares of several consumer discretionary companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. As the economy reopens, consumer spending should increase.",2020-06-05 10:31:00-04:00,TPX,positive
1248763.0,10 Biggest Price Target Changes For Monday,2020-06-01 08:21:00-04:00,TPX,neutral
1248764.0,"KeyBanc Maintains Overweight on Tempur Sealy Intl, Raises Price Target to $75",2020-06-01 05:02:00-04:00,TPX,negative
1248765.0,"Benzinga Pro's Top 5 Stocks To Watch For Thurs., May 28, 2020: COST, SNBR, FUN, BEST, EH",2020-05-28 08:03:00-04:00,TPX,positive
1248766.0,"Tempur Sealy Raises Q2 EBITDA Guidance From An Unadjusted EBITDA Loss Previously To At Least Breakeven Adj. EBITDA, Cites Improved Sales Outlook",2020-05-28 06:56:00-04:00,TPX,positive
1248767.0,"Tempur Sealy Reports Quarter-To-Date Orders Have 'Significantly' Improved, Sees Q2 Net Sales Down ~30% Year Over Year",2020-05-28 06:55:00-04:00,TPX,positive
1248768.0,Tempur Sealy Sees 'Vast Majority' Of Its ~160 US Retail Locations Open By End Of May,2020-05-21 06:33:00-04:00,TPX,neutral
1248769.0,Tempur Sealy Reports Successfully Obtained Incremental Borrowing Of $200M,2020-05-14 06:59:00-04:00,TPX,positive
1248770.0,Shares of several consumer goods companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 11:33:00-04:00,TPX,negative
1248771.0,"Letter From David Einhorn To Greenlight Investors Shows Positions In GM, Tempur-Sealy Liquidated",2020-05-01 09:50:00-04:00,TPX,neutral
1248772.0,"Stifel Maintains Buy on Tempur Sealy Intl, Raises Price Target to $72",2020-05-01 08:55:00-04:00,TPX,neutral
1248773.0,10 Biggest Price Target Changes For Friday,2020-05-01 08:17:00-04:00,TPX,neutral
1248774.0,"Wedbush Maintains Outperform on Tempur Sealy Intl, Raises Price Target to $70",2020-05-01 08:02:00-04:00,TPX,neutral
1248775.0,"Tempur Sealy International shares are trading higher after the company reported better-than-expected Q1 EPS and sales results. UPDATE: Shares have since reversed, now lower.",2020-04-30 07:52:00-04:00,TPX,positive
1248776.0,15 Consumer Cyclical Stocks Moving In Thursday's Pre-Market Session,2020-04-30 07:36:00-04:00,TPX,neutral
1248777.0,Tempur-Sealy Withdraws FY20 Guidance,2020-04-30 06:49:00-04:00,TPX,neutral
1248778.0,"Tempur Sealy Intl Q1 Adj. EPS $1.340 Beats $0.750 Estimate, Sales $822.400M Beat $808.040M Estimate",2020-04-30 06:49:00-04:00,TPX,neutral
1248779.0,"Earnings Scheduled For April 30, 2020",2020-04-30 04:16:00-04:00,TPX,neutral
1248780.0,Shares of several consumer goods companies are trading higher as equities gain on macro optimism after Gildead's Remdesivir drug showed some effectiveness in treating coronavirus patients. This has raised hopes of a sooner economic recovery.,2020-04-17 10:53:00-04:00,TPX,positive
1248781.0,"KeyBanc Maintains Overweight on Tempur Sealy Intl, Lowers Price Target to $68",2020-03-31 06:55:00-04:00,TPX,negative
1248782.0,"Tempur Sealy Reports Adoption Of Limited-Duration Shareholder Rights Plan, Declared Dividend Distribution Of 1 Right For Each Share Of Common Stock",2020-03-27 11:47:00-04:00,TPX,positive
1248783.0,"Tempur Sealy Reports Adoption Of Limited-Duration Shareholder Rights Plan, Declared Dividend Distribution Of 1 Right For Each Share Of Common Stock",2020-03-27 11:47:00-04:00,TPX,positive
1248784.0,"Tempur Sealy Says Has No Major Loan Maturities Until 2023, Senior Secured Credit Facility Matures In 2024",2020-03-27 11:47:00-04:00,TPX,positive
1248785.0,"Tempur Sealy Says Elected To Hold $200M In Cash By Borrowing On Revolving Credit Facility, Has At Least $100M Drawable On Facility",2020-03-27 11:46:00-04:00,TPX,positive
