Unnamed: 0,title,date,stock,sentiment
1269485.0,TTM Technologies Sees Q2 Sales $520M-$560M; EPS $0.11-$0.17,2020-04-29 16:23:00-04:00,TTMI,neutral
1269486.0,"TTM Technologies Q1 EPS $(0.030) Misses $0.060 Estimate, Sales $610.800M Beat $579.800M Estimate",2020-04-29 16:22:00-04:00,TTMI,negative
1269487.0,TTM Technologies To Discontinue Operations At The SH E-MS And SZ Facilities While Integrating The SH BPA Facility Into Its PCB Operations.,2020-04-29 16:21:00-04:00,TTMI,neutral
1269488.0,"Shares of several technology, semiconductor and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus.",2020-03-27 11:30:00-04:00,TTMI,positive
1269489.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,TTMI,negative
1269490.0,"Shares of several technology, semiconductor and software companies are trading higher, rebounding from Monday's crash. Stocks may also potentially be getting a boost from expectations of further stimulus proposals.",2020-03-17 11:46:00-04:00,TTMI,positive
1269491.0,"JP Morgan Downgrades TTM Technologies to Neutral, Lowers Price Target to $15",2020-03-11 05:18:00-04:00,TTMI,positive
1269492.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-06 10:39:00-05:00,TTMI,neutral
1269493.0,"TTM Technologies Sees Q1 Adj. EPS $0.05-$0.11 vs $0.17 Estimate, Sales $580M-$620M vs $607.8M Est.",2020-02-05 16:46:00-05:00,TTMI,neutral
1269494.0,"TTM Technologies Q4 EPS $0.41 Beats $0.27 Estimate, Sales $719.3M Beat $660.43M Estimate",2020-02-05 16:26:00-05:00,TTMI,neutral
1269495.0,"Earnings Scheduled For February 5, 2020",2020-02-05 04:26:00-05:00,TTMI,neutral
1269496.0,"SunTrust Robinson Humphrey Maintains Buy on TTM Technologies, Raises Price Target to $18",2020-01-23 08:58:00-05:00,TTMI,neutral
1269497.0,TTM Technologies Reports Will Sell 4 China Manufacturing Plants For $550M In Cash,2020-01-22 16:09:00-05:00,TTMI,neutral
1269498.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,TTMI,neutral
1269499.0,28 Stocks Moving in Friday's Pre-Market Session,2019-12-27 07:47:00-05:00,TTMI,neutral
1269500.0,Stocks That Hit 52-Week Highs On Friday,2019-12-13 11:19:00-05:00,TTMI,neutral
1269501.0,JP Morgan Upgrades TTM Technologies to Overweight,2019-12-13 06:34:00-05:00,TTMI,neutral
1269502.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,TTMI,neutral
1269503.0,23 Biggest Movers From Yesterday,2019-11-01 07:30:00-04:00,TTMI,neutral
1269504.0,27 Stocks Moving In Thursday's Mid-Day Session,2019-10-31 11:51:00-04:00,TTMI,neutral
1269505.0,TTM Technologies shares are trading lower after the company reported worse-than-expected Q3 EPS results and issued Q4 EPS and sales guidance below analyst estimates.,2019-10-31 08:53:00-04:00,TTMI,neutral
1269506.0,TTM Technologies shares are trading lower after the company reported worse-than-expected Q3 EPS results and issued Q4 EPS and sales guidance below analyst estimates.,2019-10-30 17:38:00-04:00,TTMI,neutral
1269507.0,TTM Technologies Shares To Resume Trade At 4:35 p.m. EDT,2019-10-30 16:28:00-04:00,TTMI,positive
1269508.0,"TTM Technologies Q3 EPS $0.37 Misses $0.38 Estimate, Sales $716.8M Beat $709.49M Estimate; Sees Q4 Adj. EPS $0.25-$0.31 vs $0.42 Est., Sales $640M-$680M vs $724M Est.",2019-10-30 16:27:00-04:00,TTMI,negative
1269509.0,"TTM Technologies Shares Halted, News PEnding",2019-10-30 16:01:00-04:00,TTMI,positive
1269510.0,3 Value Investing ETFs Worth Considering,2019-10-07 16:15:00-04:00,TTMI,positive
1269511.0,"B. Riley Initiates Coverage On TTM Technologies with Buy Rating, Announces $17.75 Price Target",2019-09-05 06:22:00-04:00,TTMI,neutral
1269512.0,"Benzinga's Top Upgrades, Downgrades For August 5, 2019",2019-08-05 10:29:00-04:00,TTMI,positive
1269513.0,"JP Morgan Downgrades TTM Technologies to Neutral, Announces $14 Price Target",2019-08-05 06:58:00-04:00,TTMI,positive
1269514.0,100 Biggest Movers From Yesterday,2019-08-02 05:53:00-04:00,TTMI,neutral
1269515.0,72 Stocks Moving In Thursday's Mid-Day Session,2019-08-01 12:16:00-04:00,TTMI,neutral
1269516.0,"TTM Technologies Q2 EPS $0.2 Beats $0.17 Estimate, Sales $633M Beat $622.69M Estimate",2019-07-31 17:14:00-04:00,TTMI,neutral
1269517.0,24 Technology Stocks Moving In Friday's After-Market Session,2019-07-29 05:05:00-04:00,TTMI,neutral
1269518.0,21 Stocks Moving In Friday's Pre-Market Session,2019-07-05 08:45:00-04:00,TTMI,neutral
