Unnamed: 0,title,date,stock,sentiment
1305702.0,Varian Launches New Capabilities For Noona Software Application,2020-05-21 08:17:00-04:00,VAR,neutral
1305703.0,"UBS Maintains Buy on Varian Medical Systems, Lowers Price Target to $150",2020-05-05 10:44:00-04:00,VAR,negative
1305704.0,Varian Withdraws FY20 Guidance,2020-05-04 16:28:00-04:00,VAR,neutral
1305705.0,"Varian Medical Systems Q2 EPS $0.850, Inline, Sales $794.500M Beat $769.980M Estimate",2020-05-04 16:28:00-04:00,VAR,neutral
1305706.0,"Earnings Scheduled For May 4, 2020",2020-05-04 04:07:00-04:00,VAR,neutral
1305707.0,The Week Ahead In Biotech: Smid-Cap Earnings News Flow Picks Up Pace,2020-05-03 08:45:00-04:00,VAR,neutral
1305708.0,"JP Morgan Maintains Underweight on Varian Medical Systems, Lowers Price Target to $90",2020-04-17 10:47:00-04:00,VAR,positive
1305709.0,"Benzinga's Top Upgrades, Downgrades For April 9, 2020",2020-04-09 10:02:00-04:00,VAR,positive
1305710.0,"Evercore ISI Group Downgrades Varian Medical Systems to Underperform, Lowers Price Target to $105",2020-04-09 07:10:00-04:00,VAR,negative
1305711.0,"Benzinga's Top Upgrades, Downgrades For April 8, 2020",2020-04-08 09:35:00-04:00,VAR,positive
1305712.0,"Piper Sandler Initiates Coverage On Varian Medical Systems with Overweight Rating, Announces Price Target to $126",2020-04-08 05:31:00-04:00,VAR,negative
1305713.0,"Benzinga's Top Upgrades, Downgrades For April 1, 2020",2020-04-01 09:33:00-04:00,VAR,positive
1305714.0,"Goldman Sachs Downgrades Varian Medical Systems to Neutral, Lowers Price Target to $114",2020-04-01 05:09:00-04:00,VAR,negative
1305715.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,VAR,negative
1305716.0,"The Daily Biotech Pulse: AbbVie, Allergan Agree On Divestments, Obalon Stops Obesity Balloon Sale, COVID-19 Updates",2020-03-18 07:36:00-04:00,VAR,positive
1305717.0,"Shares of several healthcare companies are trading lower as the coronavirus outbreak continues to cause economic disruption around the globe, leading to a steep selloff in equities across sectors.",2020-03-16 10:50:00-04:00,VAR,negative
1305718.0,Varian Halcyon 2.0 Treatment System Receives China NMPA Approval,2020-03-16 07:43:00-04:00,VAR,positive
