Unnamed: 0,title,date,stock,sentiment
1339515.0,61 Stocks Moving In Wednesday's Mid-Day Session,2020-06-10 13:31:00-04:00,WATT,neutral
1339516.0,Several of industrial companies are trading lower amid market weakness as investors await today's Federal Reserve decision and update on the state of the economy. Markets have sold off over the past few sessions following recent surge.,2020-06-10 10:36:00-04:00,WATT,negative
1339517.0,20 Technology Stocks Moving In Wednesday's Pre-Market Session,2020-06-10 07:37:00-04:00,WATT,neutral
1339518.0,90 Biggest Movers From Yesterday,2020-06-10 05:46:00-04:00,WATT,neutral
1339519.0,"'$WATT Energous granted US patent number 10,680,319 titled ""Devices and methods for reducing mutual coupling effects in wireless power transmission systems"" ' - PatentGrants",2020-06-09 15:34:00-04:00,WATT,positive
1339520.0,19 Technology Stocks Moving In Tuesday's Pre-Market Session,2020-06-09 07:31:00-04:00,WATT,neutral
1339521.0,16 Technology Stocks Moving In Wednesday's Pre-Market Session,2020-05-20 07:37:00-04:00,WATT,neutral
1339522.0,17 Technology Stocks Moving In Tuesday's Pre-Market Session,2020-05-19 07:41:00-04:00,WATT,neutral
1339523.0,28 Stocks Moving in Tuesday's Pre-Market Session,2020-05-19 07:20:00-04:00,WATT,neutral
1339524.0,Energous shares are trading higher after the company announced a collaboration with E Ink to develop wirelessly charged electronic paper display tags.,2020-05-19 06:08:00-04:00,WATT,positive
1339525.0,Energous Partners With E Ink To Develop Wirelessly Charged Electronic Paper Display Tags,2020-05-19 06:04:00-04:00,WATT,negative
1339526.0,Energous Corporation shares are trading higher after the company Q1 sales were up year over year. The company also reported a partnership with 28Gorilla to develop an equestrian health-tracking sensor for American Equus.,2020-05-06 16:11:00-04:00,WATT,positive
1339527.0,"Energous Q1 EPS $(0.250) Misses $(0.220) Estimate, Sales $61.475M Up From $66.500K YoY",2020-05-06 16:04:00-04:00,WATT,negative
1339528.0,12 Technology Stocks Moving In Monday's Pre-Market Session,2020-04-27 07:38:00-04:00,WATT,neutral
1339529.0,5 Technology Stocks Moving In Friday's Pre-Market Session,2020-04-24 07:31:00-04:00,WATT,neutral
1339530.0,54 Stocks Moving In Thursday's Mid-Day Session,2020-04-23 12:24:00-04:00,WATT,neutral
1339531.0,12 Technology Stocks Moving In Thursday's Pre-Market Session,2020-04-23 07:35:00-04:00,WATT,neutral
1339532.0,38 Stocks Moving in Thursday's Pre-Market Session,2020-04-23 07:18:00-04:00,WATT,neutral
1339533.0,70 Biggest Movers From Yesterday,2020-04-23 04:12:00-04:00,WATT,neutral
1339534.0,46 Stocks Moving In Wednesday's Mid-Day Session,2020-04-22 12:13:00-04:00,WATT,neutral
1339535.0,13 Technology Stocks Moving In Wednesday's Pre-Market Session,2020-04-22 07:37:00-04:00,WATT,neutral
1339536.0,"Hearing Roth Capital Partners Out Positive On Energous, Saying They Believe FCC Certification, Along With Other Regulatory Approvals Can Pave Way For Additional Customer Engagements; Unconfirmed",2020-04-21 12:48:00-04:00,WATT,positive
1339537.0,"Energous Shares Resume Trade, Continue Higher, Now Up 244%",2020-04-21 09:39:00-04:00,WATT,positive
1339538.0,Energous Shares Halted On Circuit Breaker Up 216%,2020-04-21 09:34:00-04:00,WATT,positive
1339539.0,Energous shares are trading higher after the company announced it received FCC certification for its new WattUp pver-the-air wireless charging transmitter.,2020-04-21 09:08:00-04:00,WATT,positive
1339540.0,10 Technology Stocks Moving In Tuesday's Pre-Market Session,2020-04-21 07:57:00-04:00,WATT,neutral
1339541.0,"Energous Receives FCC Certification for New Groundbreaking Over-the-Air, Power-at-a-Distance Wireless Charging",2020-04-21 06:34:00-04:00,WATT,neutral
1339542.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,WATT,negative
1339543.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-05 10:29:00-05:00,WATT,negative
1339544.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-04 11:12:00-05:00,WATT,negative
1339545.0,10 Technology Stocks Moving In Tuesday's Pre-Market Session,2020-03-03 08:06:00-05:00,WATT,neutral
1339546.0,"Roth Capital Transfer Coverage Of Energous, Sets Buy Rating, $7 Price Target",2020-03-02 16:32:00-05:00,WATT,neutral
1339547.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,WATT,negative
1339548.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,WATT,negative
1339549.0,21 Stocks Moving In Wednesday's After-Hours Session,2020-02-26 18:03:00-05:00,WATT,neutral
1339550.0,Energous shares are trading lower after the company reported worse-than-expected Q4 EPS and sales results.,2020-02-26 16:37:00-05:00,WATT,neutral
1339551.0,Energous Reports Japanese Regulatory Approval For WattUp,2020-02-26 16:05:00-05:00,WATT,positive
1339552.0,"Energous Q4 EPS $(0.29) Misses $(0.28) Estimate, Sales $45.643K Miss $170K Estimate",2020-02-26 16:02:00-05:00,WATT,negative
1339553.0,Stocks That Hit 52-Week Lows On Wednesday,2020-02-26 11:14:00-05:00,WATT,negative
1339554.0,Stocks That Hit 52-Week Lows On Thursday,2020-01-30 10:54:00-05:00,WATT,negative
1339555.0,Stocks That Hit 52-Week Lows On Thursday,2020-01-09 15:17:00-05:00,WATT,negative
1339556.0,65 Biggest Movers From Yesterday,2020-01-03 04:36:00-05:00,WATT,neutral
1339557.0,42 Stocks Moving In Thursday's Mid-Day Session,2020-01-02 12:13:00-05:00,WATT,neutral
1339558.0,24 Technology Stocks Moving In Thursday's Pre-Market Session,2020-01-02 08:11:00-05:00,WATT,neutral
1339559.0,20 Stocks Moving in Thursday's Pre-Market Session,2020-01-02 07:30:00-05:00,WATT,neutral
1339560.0,Stocks That Hit 52-Week Lows On Friday,2019-12-20 12:13:00-05:00,WATT,negative
1339561.0,10 Stocks With At Least 30% Borrow Fees,2019-12-17 09:10:00-05:00,WATT,neutral
1339562.0,Stocks That Hit 52-Week Lows On Tuesday,2019-12-03 10:40:00-05:00,WATT,negative
1339563.0,80 Biggest Movers From Friday,2019-11-11 04:51:00-05:00,WATT,neutral
1339564.0,65 Stocks Moving In Friday's Mid-Day Session,2019-11-08 13:15:00-05:00,WATT,neutral
1339565.0,Stocks That Hit 52-Week Lows On Friday,2019-11-08 11:41:00-05:00,WATT,negative
1339566.0,Stocks That Hit 52-Week Lows On Wednesday,2019-10-30 10:38:00-04:00,WATT,negative
1339567.0,Stocks That Hit 52-Week Lows On Tuesday,2019-10-29 10:53:00-04:00,WATT,negative
1339568.0,Stocks That Hit 52-Week Lows On Friday,2019-10-25 12:49:00-04:00,WATT,negative
1339569.0,Energous Partner NewSound Launches WattUp-enabled Hearing Aid,2019-10-16 03:09:00-04:00,WATT,neutral
1339570.0,"Energous, ZPower Announce Partnership to Develop Rechargeable Microbatteries",2019-10-16 03:08:00-04:00,WATT,neutral
1339571.0,Stocks That Hit 52-Week Lows On Wednesday,2019-10-02 10:55:00-04:00,WATT,negative
1339572.0,Stocks That Hit 52-Week Lows On Tuesday,2019-10-01 14:35:00-04:00,WATT,negative
1339573.0,65 Biggest Movers From Friday,2019-09-03 05:14:00-04:00,WATT,neutral
1339574.0,Stocks That Hit 52-Week Lows On Friday,2019-08-23 11:08:00-04:00,WATT,negative
1339575.0,35 Technology Stocks Moving In Thursday's After-Market Session,2019-08-08 21:54:00-04:00,WATT,neutral
1339576.0,40 Technology Stocks Moving In Wednesday's After-Market Session,2019-08-07 21:18:00-04:00,WATT,neutral
1339577.0,Energous shares are trading higher after the company announced that the WattUp-enabled Delight Oasis-RC personal sound amplification product is now available for U.S. sales on Amazon.,2019-08-06 08:42:00-04:00,WATT,positive
1339578.0,30 Stocks Moving In Tuesday's Pre-Market Session,2019-08-06 07:55:00-04:00,WATT,neutral
1339579.0,Energous and Delight Announce Availability of World's First WattUp Wirelessly Charged Hearable on Amazon,2019-08-06 06:50:00-04:00,WATT,positive
1339580.0,New 52-Week Lows For Monday Morning,2019-08-05 13:16:00-04:00,WATT,negative
1339581.0,27 Technology Stocks Moving In Today's Pre-Market Session,2019-07-30 09:24:00-04:00,WATT,neutral
1339582.0,36 Technology Stocks Moving In Monday's After-Market Session,2019-07-30 04:20:00-04:00,WATT,neutral
1339583.0,Energous Shares Spike As Traders Circulate Info That The Co. Was Granted FCC Approval For Wireless Charger,2019-07-29 12:31:00-04:00,WATT,positive
1339584.0,Ladenburg Thalmann Upgrades Energous Corporation - Common Stock to Buy,2019-05-01 08:20:00-04:00,WATT,neutral
1339585.0,Energous Option Alert: Nov 15 $10 Calls Sweep (14) near the Bid: 800 @ $0.35 vs 443 OI; Earnings 4/30 After Close Ref=$4.9601,2019-04-30 11:45:00-04:00,WATT,positive
1339586.0,28 Stocks Moving In Wednesday's Pre-Market Session,2019-04-17 08:07:00-04:00,WATT,neutral
1339587.0,81 Biggest Movers From Friday,2019-03-04 05:39:00-05:00,WATT,neutral
1339588.0,84 Biggest Movers From Yesterday,2019-02-28 05:10:00-05:00,WATT,neutral
1339589.0,72 Stocks Moving In Wednesday's Mid-Day Session,2019-02-27 12:20:00-05:00,WATT,neutral
1339590.0,Energous shares are trading lower after the company missed Q4 EPS and sales estimates.,2019-02-27 09:07:00-05:00,WATT,negative
1339591.0,35 Stocks Moving In Wednesday's Pre-Market Session,2019-02-27 08:25:00-05:00,WATT,neutral
1339592.0,"Energous Q4 EPS $(0.48) Misses $(0.45) Estimate, Sales $56.1K Miss $790K Estimate",2019-02-27 06:39:00-05:00,WATT,negative
1339593.0,72 Biggest Movers From Yesterday,2019-02-27 04:55:00-05:00,WATT,neutral
1339594.0,"Energous Prices 3,33M Share Registered Direct Offering @$7.50/Share",2019-02-27 03:50:00-05:00,WATT,positive
1339595.0,"Energous Demonstrates WattUp Fast Charging 20-Watt Solution, Designed for Fast Charging Smartphones, Tablets and More at #MWC19",2019-02-25 04:01:00-05:00,WATT,positive
1339596.0,Energous Corporation Announces Collaboration with vivo Global to Explore Integrating WattUp into Smartphone Designs,2019-02-25 03:58:00-05:00,WATT,neutral
1339597.0,71 Biggest Movers From Yesterday,2019-02-20 04:49:00-05:00,WATT,neutral
1339598.0,21 Stocks Moving In Friday's Pre-Market Session,2019-01-25 08:03:00-05:00,WATT,neutral
1339599.0,Energous to Showcase FCC-Certified and  Pre-Production Products from Partners at CES 2019,2019-01-08 06:05:00-05:00,WATT,neutral
1339600.0,66 Biggest Movers From Yesterday,2019-01-03 05:00:00-05:00,WATT,neutral
1339601.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Wed., Jan. 2, 2019",2019-01-02 13:05:00-05:00,WATT,positive
1339602.0,16 Stocks Moving In Wednesday's Pre-Market Session,2019-01-02 08:03:00-05:00,WATT,neutral
1339603.0,33 Stocks Moving In Monday's Mid-Day Session,2018-12-31 12:19:00-05:00,WATT,neutral
1339604.0,48 Biggest Movers From Friday,2018-12-31 05:18:00-05:00,WATT,neutral
1339605.0,26 Stocks Moving In Friday's Mid-Day Session,2018-12-28 12:43:00-05:00,WATT,neutral
1339606.0,24 Stocks Moving In Friday's Pre-Market Session,2018-12-28 08:09:00-05:00,WATT,neutral
1339607.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning Of Fri., Dec. 28, 2018",2018-12-28 06:42:00-05:00,WATT,positive
1339608.0,50 Biggest Movers From Yesterday,2018-12-28 05:18:00-05:00,WATT,neutral
1339609.0,Mid-Afternoon Market Update: Dow Down Over 500 Points; Crude Oil Falls 3.5%,2018-12-27 14:43:00-05:00,WATT,negative
1339610.0,Mid-Day Market Update: CSP Drops After Q4 Results; BioXcel Therapeutics Shares Gain,2018-12-27 12:59:00-05:00,WATT,positive
1339611.0,30 Stocks Moving In Thursday's Mid-Day Session,2018-12-27 12:47:00-05:00,WATT,neutral
1339612.0,Energous Corp shares are trading higher after the company's WattUp wireless charger received approval from the FCC.,2018-12-27 12:23:00-05:00,WATT,positive
1339613.0,"Benzinga Pro's Top 10 Most-Searched Tickers For The Morning Of Thurs., Dec. 27, 2018",2018-12-27 11:30:00-05:00,WATT,positive
1339614.0,Mid-Morning Market Update: Markets Open Lower; Boston Scientific To Buy Out Millipede,2018-12-27 10:43:00-05:00,WATT,negative
1339615.0,Energous shares are trading higher in the pre-market session after the company's WattUp wireless charger received approval from the FCC.,2018-12-27 09:21:00-05:00,WATT,positive
1339616.0,Energous Rallies After First Customer Product Approval From The FCC,2018-12-27 09:09:00-05:00,WATT,positive
1339617.0,20 Stocks Moving In Thursday's Pre-Market Session,2018-12-27 08:05:00-05:00,WATT,neutral
1339618.0,"Energous Highlights WattUp-Enabled Personal Sound Amp Products From Delight Certified By FCC To Be Marketed, Sold In US",2018-12-27 06:03:00-05:00,WATT,positive
1339619.0,Energous Corporation Announces First Customer Product Approval from FCC,2018-12-27 06:01:00-05:00,WATT,positive
1339620.0,Energous Corporation Announces New DA2223 Receiver IC Designed for Small Electronic Devices,2018-11-27 06:00:00-05:00,WATT,neutral
1339621.0,82 Biggest Movers From Yesterday,2018-11-01 04:38:00-04:00,WATT,neutral
1339622.0,66 Stocks Moving In Wednesday's Mid-Day Session,2018-10-31 12:50:00-04:00,WATT,neutral
1339623.0,38 Stocks Moving In Wednesday's Pre-Market Session,2018-10-31 08:20:00-04:00,WATT,neutral
1339624.0,"Energous Q3 EPS $(0.49), Inline, Sales $228K Beat $210K Estimate",2018-10-30 16:29:00-04:00,WATT,neutral
1339625.0,Energous Corporation Partners with Qubercomm Technologies To Launch New Asset Tracking Solution,2018-09-25 06:05:00-04:00,WATT,positive
1339626.0,26 Stocks Moving In Wednesday's Pre-Market Session,2018-09-05 08:01:00-04:00,WATT,neutral
1339627.0,Energous Reaches Milestone As It Secures Regulatory Approval For Its WattUp Wireless Charging Technology In 100 Countries Worldwide,2018-09-05 06:01:00-04:00,WATT,positive
1339628.0,66 Biggest Movers From Friday,2018-08-06 05:36:00-04:00,WATT,neutral
1339629.0,75 Biggest Movers From Yesterday,2018-08-03 06:10:00-04:00,WATT,neutral
1339630.0,65 Stocks Moving In Thursday's Mid-Day Session,2018-08-02 12:26:00-04:00,WATT,neutral
1339631.0,Energous Corporation shares are trading 15% lower after the company announced its quarterly earnings. Sales decreased 31% year-over-year.,2018-08-02 10:15:00-04:00,WATT,neutral
1339632.0,"Energous Q2 EPS $(0.48), Inline, Sales $205.773K Beat $180K Estimate",2018-08-01 16:03:00-04:00,WATT,neutral
1339633.0,34 Stocks Moving In Monday's Mid-Day Session,2018-07-23 12:42:00-04:00,WATT,neutral
1339634.0,28 Stocks Moving In Wednesday's Pre-Market Session,2018-07-18 08:09:00-04:00,WATT,neutral
1339635.0,Energous Launches WattUp With IDT Interntional,2018-06-28 06:34:00-04:00,WATT,neutral
1339636.0,Energous Option Alert: Nov 16 $25 Calls Sweep (15) near the Ask: 696 @ $0.55 vs 1047 OI; Earnings 8/7 After Close [est] Ref=$16.2,2018-06-18 11:25:00-04:00,WATT,positive
