Unnamed: 0,title,date,stock,sentiment
1364558.0,"Baird Maintains Outperform on WNS (Holdings), Raises Price Target to $60",2020-04-24 12:39:00-04:00,WNS,neutral
1364559.0,WNS: Q4 Earnings Insights,2020-04-23 09:32:00-04:00,WNS,neutral
1364560.0,WNS Suspends Guidance,2020-04-23 06:10:00-04:00,WNS,neutral
1364561.0,"WNS (Holdings) Q4 Adj. EPS $0.820 Beats $0.740 Estimate, Sales $235.800M Beat $230.670M Estimate",2020-04-23 06:10:00-04:00,WNS,neutral
1364562.0,"Citigroup Maintains Buy on WNS (Holdings), Lowers Price Target to $52",2020-04-22 12:37:00-04:00,WNS,negative
1364563.0,"Cowen & Co. Maintains Outperform on WNS (Holdings), Lowers Price Target to $57",2020-04-21 09:22:00-04:00,WNS,negative
1364564.0,Wells Fargo Downgrades WNS (Holdings) to Equal-Weight,2020-04-17 06:04:00-04:00,WNS,positive
1364565.0,"Benzinga's Top Upgrades, Downgrades For April 9, 2020",2020-04-09 10:02:00-04:00,WNS,positive
1364566.0,Baird Upgrades WNS (Holdings) to Outperform,2020-04-09 06:44:00-04:00,WNS,neutral
1364567.0,Shares of several industrial companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Strength may also be attributed to optimism that coronavirus cases in several US hotspots appear to be reaching their peak.,2020-04-07 07:34:00-04:00,WNS,positive
1364568.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,WNS,negative
1364569.0,"Needham Maintains Strong Buy on WNS (Holdings), Lowers Price Target to $60",2020-03-20 08:38:00-04:00,WNS,positive
1364570.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,WNS,negative
1364571.0,Stocks That Hit 52-Week Lows On Monday,2020-03-16 11:51:00-04:00,WNS,negative
1364572.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,WNS,negative
1364573.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-18 11:03:00-05:00,WNS,neutral
1364574.0,"Needham Maintains Strong Buy on WNS (Holdings), Raises Price Target to $90",2020-02-13 06:19:00-05:00,WNS,positive
1364575.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-05 10:16:00-05:00,WNS,neutral
1364576.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-04 10:18:00-05:00,WNS,neutral
1364577.0,Stocks That Hit 52-Week Highs On Friday,2020-01-24 10:41:00-05:00,WNS,neutral
1364578.0,"Needham Maintains Buy on WNS (Holdings), Raises Price Target to $87",2020-01-17 10:22:00-05:00,WNS,neutral
1364579.0,"Citigroup Maintains Buy on WNS (Holdings), Raises Price Target to $82",2020-01-17 07:34:00-05:00,WNS,neutral
1364580.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,WNS,neutral
1364581.0,8 Industrial Stocks Moving In Thursday's Pre-Market Session,2020-01-16 08:18:00-05:00,WNS,neutral
1364582.0,"WNS Sees FY20 Sales Less Repair Payments $890M-$900M, Adj. Net Income $158M-$162M",2020-01-16 06:06:00-05:00,WNS,neutral
1364583.0,"WNS (Holdings) Q3 EPS $0.8 Beats $0.74 Estimate, Sales $228.2M Beat $222.19M Estimate",2020-01-16 06:05:00-05:00,WNS,neutral
1364584.0,"Earnings Scheduled For January 16, 2020",2020-01-16 04:06:00-05:00,WNS,neutral
1364585.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-09 15:15:00-05:00,WNS,neutral
1364586.0,"Wells Fargo Maintains Overweight on WNS (Holdings), Raises Price Target to $74",2020-01-09 10:20:00-05:00,WNS,negative
1364587.0,"JP Morgan Maintains Overweight on WNS (Holdings), Raises Price Target to $74",2019-12-18 09:05:00-05:00,WNS,neutral
1364588.0,"Citigroup Maintains Buy on WNS (Holdings), Raises Price Target to $74",2019-10-18 09:37:00-04:00,WNS,neutral
1364589.0,"Baird Maintains Neutral on WNS (Holdings), Raises Price Target to $68",2019-10-18 09:29:00-04:00,WNS,neutral
1364590.0,48 Biggest Movers From Yesterday,2019-10-18 06:55:00-04:00,WNS,neutral
1364591.0,32 Stocks Moving In Thursday's Mid-Day Session,2019-10-17 11:52:00-04:00,WNS,neutral
1364592.0,Stocks That Hit 52-Week Highs On Thursday,2019-10-17 11:00:00-04:00,WNS,neutral
1364593.0,WNS shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. The company also issued FY20 EPS above analyst expectations.,2019-10-17 10:40:00-04:00,WNS,positive
1364594.0,WNS Sees FY20 Adj. EPS $2.93-$3.08 vs $2.88 Est.,2019-10-17 06:05:00-04:00,WNS,neutral
1364595.0,"WNS Q2 Adj. EPS $0.79 Beats $0.67 Estimate, Adj. Sales $220.7M Beat $216.08M Estimate",2019-10-17 06:05:00-04:00,WNS,neutral
1364596.0,"Earnings Scheduled For October 17, 2019",2019-10-17 04:36:00-04:00,WNS,neutral
1364597.0,"JP Morgan Maintains Overweight on WNS (Holdings), Lowers Price Target to $72",2019-10-07 07:44:00-04:00,WNS,negative
1364598.0,Stocks that Broke 52-Week Highs Tuesday,2019-07-23 14:39:00-04:00,WNS,negative
1364599.0,"WNS Sees FY20 Adj. EPS $2.75-$2.95, Sales Less Repair Payments $855M-$895M",2019-07-18 06:11:00-04:00,WNS,neutral
1364600.0,"WNS (Holdings) Q1 EPS $0.72 Beats $0.61 Estimate, Sales $214.6M Beat $207.51M Estimate",2019-07-18 06:10:00-04:00,WNS,neutral
1364601.0,"Earnings Scheduled For July 18, 2019",2019-07-18 04:28:00-04:00,WNS,neutral
1364602.0,Several India company shares are trading higher after Indian Prime Minister Narendra Modi won re-election on a 'landslide' victory.,2019-05-24 13:07:00-04:00,WNS,positive
1364603.0,"WNS Sees FY20 Adj. EPS $2.67-$2.90 vs $2.81 Est., Sales $854M-$900M vs $871.75M Est.",2019-04-25 06:09:00-04:00,WNS,neutral
1364604.0,"WNS Q4 Adj. EPS $0.73 Beats $0.68 Estimate, Sales $206.6M Up From $198.2M YoY",2019-04-25 06:08:00-04:00,WNS,neutral
1364605.0,10 Biggest Price Target Changes For Tuesday,2019-04-02 09:58:00-04:00,WNS,neutral
1364606.0,"Wedbush Maintains Outperform on WNS (Holdings), Raises Price Target to $65",2019-04-02 08:18:00-04:00,WNS,neutral
1364607.0,"WNS Holdings Reports Contract With Yorkshire Building Society Group To Transform YBS' Customer Processes, No Terms Disclosed",2019-03-28 08:10:00-04:00,WNS,negative
1364608.0,"WNS Sees FY19 Adj. EPS $2.60-$2.70 vs $2.51 Est., Sales $787M-$799M vs $793.04M Est.",2019-01-17 06:11:00-05:00,WNS,neutral
1364609.0,"WNS Q3 Adj. EPS $0.73 Beats $0.61 Estimate, Sales $195.5M Beat $195.31M Estimate",2019-01-17 06:09:00-05:00,WNS,neutral
1364610.0,"Earnings Scheduled For January 17, 2019",2019-01-17 04:15:00-05:00,WNS,neutral
1364611.0,WNS Sees FY19 Adj. EPS $2.42-$2.58 vs $2.60 Est.,2018-10-25 06:41:00-04:00,WNS,neutral
1364612.0,"WNS (Holdings) Q2 Adj. EPS $0.65 Beats $0.56 Estimate, Sales $195.5M Miss $196.84M Estimate",2018-10-25 06:40:00-04:00,WNS,negative
1364613.0,40 Stocks Moving In Thursday's Mid-Day Session,2018-07-19 13:14:00-04:00,WNS,neutral
1364614.0,"WNS Sees FY19 Sales Of $777-$821M vs $823M, EPS $2.23-$2.42 vs $2.35 Est.",2018-07-19 06:08:00-04:00,WNS,neutral
1364615.0,"WNS (Holdings) Q1 EPS $0.59 Beats $0.51 Estimate, Sales $196M Beat $193.68M Estimate",2018-07-19 06:07:00-04:00,WNS,neutral
1364616.0,"WNS (Holdings) Limited Reports Share Services Partnership With Hyperion Insurance Group, No Terms Disclosed",2018-06-14 08:04:00-04:00,WNS,negative
1364617.0,"WNS Sees FY19 Adj. EPS $2.18-$2.41 vs $2.21 Est., Sales $801M-$847M vs $725.8M Est.",2018-04-26 06:27:00-04:00,WNS,neutral
1364618.0,"WNS (Holdings) Limited Q4 Adj. Earnings $0.63/ADS Beats $0.57 Est., Sales $202.7M Beats $183M Est.",2018-04-26 06:26:00-04:00,WNS,negative
