Unnamed: 0,title,date,stock,sentiment
1367788.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,WRE,negative
1367789.0,Stocks That Hit 52-Week Lows On Wednesday,2020-05-13 11:07:00-04:00,WRE,negative
1367790.0,"Washington REIT Q1 Core FFO $0.37, EPS $0.02",2020-04-22 16:17:00-04:00,WRE,neutral
1367791.0,"Stifel Maintains Hold on Washington REIT, Lowers Price Target to $24",2020-04-03 10:22:00-04:00,WRE,negative
1367792.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,WRE,negative
1367793.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,WRE,negative
1367794.0,"Raymond James Maintains Outperform on Washington REIT, Raises Price Target to $33.5",2020-02-19 07:19:00-05:00,WRE,neutral
1367795.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,WRE,neutral
1367796.0,"Washington REIT Q4 EPS $0.66, Core FFO $0.40",2020-02-13 16:32:00-05:00,WRE,neutral
1367797.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-12 11:45:00-05:00,WRE,neutral
1367798.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,WRE,neutral
1367799.0,Stocks That Hit 52-Week Highs On Wednesday,2019-10-30 10:35:00-04:00,WRE,neutral
1367800.0,"Raymond James Maintains Outperform on Washington REIT, Raises Price Target to $32.5",2019-10-30 07:15:00-04:00,WRE,neutral
1367801.0,Stocks That Hit 52-Week Highs On Monday,2019-10-28 10:51:00-04:00,WRE,neutral
1367802.0,Stocks That Hit 52-Week Highs On Friday,2019-10-25 12:47:00-04:00,WRE,neutral
1367803.0,"Benzinga's Top Upgrades, Downgrades For May 14, 2019",2019-05-14 09:20:00-04:00,WRE,positive
1367804.0,"Baird Downgrades Washington Real Estate Investment Trust Common Stock to Neutral, Lowers Price Target to $28",2019-05-14 07:03:00-04:00,WRE,positive
1367805.0,Washington REIT Q1 FFO $0.44 Down From $0.46 YoY,2019-04-24 16:20:00-04:00,WRE,neutral
1367806.0,"WashREIT Reports Purchase Of 2,113 Unit Multifamily Portfolio For ~$461M",2019-04-02 16:48:00-04:00,WRE,neutral
