Unnamed: 0,title,date,stock,sentiment
1368263.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,WSBC,negative
1368264.0,Stocks That Hit 52-Week Lows On Wednesday,2020-05-13 11:07:00-04:00,WSBC,negative
1368265.0,"B. Riley FBR Maintains Neutral on Wesbanco, Lowers Price Target to $25",2020-04-29 13:05:00-04:00,WSBC,negative
1368266.0,Wesbanco Q1 EPS $0.410 Misses $0.580 Estimate,2020-04-27 16:21:00-04:00,WSBC,negative
1368267.0,"B. Riley FBR Maintains Neutral on Wesbanco, Lowers Price Target to $30",2020-04-13 08:32:00-04:00,WSBC,negative
1368268.0,Stocks That Hit 52-Week Lows On Monday,2020-03-16 11:51:00-04:00,WSBC,negative
1368269.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,WSBC,negative
1368270.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,WSBC,negative
1368271.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-05 10:29:00-05:00,WSBC,negative
1368272.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,WSBC,negative
1368273.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,WSBC,negative
1368274.0,"Stephens & Co. Maintains Overweight on Wesbanco, Lowers Price Target to $39",2020-01-29 11:49:00-05:00,WSBC,negative
1368275.0,Stocks That Hit 52-Week Lows On Wednesday,2020-01-29 10:52:00-05:00,WSBC,negative
1368276.0,"Keefe, Bruyette & Woods Downgrades Wesbanco to Market Perform, Lowers Price Target to $37",2020-01-29 06:55:00-05:00,WSBC,negative
1368277.0,Wesbanco Q4 Adj. EPS $0.75 Beats $0.7 Estimate,2020-01-27 16:21:00-05:00,WSBC,neutral
1368278.0,WesBanco Announces 1.7M Share Buyback,2019-12-19 17:17:00-05:00,WSBC,positive
1368279.0,"Notable Insider Buys In The Past Week: Eli Lilly, JPMorgan, Thor Industries",2019-10-26 15:23:00-04:00,WSBC,neutral
1368280.0,"Wesbanco Q3 EPS $0.71 Misses $0.78 Estimate, Sales $96.12M Miss $100.12M Estimate",2019-10-23 16:26:00-04:00,WSBC,negative
1368281.0,Stocks That Hit 52-Week Lows On Wednesday,2019-08-28 11:12:00-04:00,WSBC,negative
1368282.0,New 52-Week Lows For Monday Morning,2019-08-05 13:16:00-04:00,WSBC,negative
1368283.0,Sandler O'Neill Upgrades Wesbanco to Buy,2019-07-25 07:51:00-04:00,WSBC,neutral
1368284.0,"Keefe Bruyette & Woods Upgrades Wesbanco to Outperform, Announces $42 Price Target",2019-07-25 06:22:00-04:00,WSBC,neutral
1368285.0,"WesBanco, Inc. Announces Agreement And Plan Of Merger With Old Line Bancshares, Inc",2019-07-23 16:23:00-04:00,WSBC,positive
1368286.0,"Wesbanco Q2 Adj. EPS $0.82, Inline",2019-07-23 16:22:00-04:00,WSBC,neutral
1368287.0,WesBanco Wins $25M In New Market Tax Credit Investments,2019-05-31 16:08:00-04:00,WSBC,positive
1368288.0,Wesbanco Q1 EPS $0.74 Misses $0.8 Estimate,2019-04-16 16:18:00-04:00,WSBC,negative
1368289.0,"Earnings Scheduled For April 16, 2019",2019-04-16 05:01:00-04:00,WSBC,neutral
1368290.0,WesBancor Raises Qtr. Dividend From $0.29 To $0.31/Share,2019-02-28 16:55:00-05:00,WSBC,neutral
1368291.0,"WesBanco Names Christopher Criss Chair, Succeeding James Gardill",2019-02-28 16:55:00-05:00,WSBC,positive
1368292.0,Wesbanco Q4 EPS $0.80 Beats $0.75 Estimate,2019-01-28 16:15:00-05:00,WSBC,neutral
1368293.0,"Stocks That Will Be Trading Ex Dividend Thurs., Dec. 13, 2018",2018-12-12 11:15:00-05:00,WSBC,neutral
1368294.0,"Wesbanco Q3 EPS $0.81 Beats $0.78 Estimate, Sales $89.933M Beat $87.28M Estimate",2018-10-24 17:01:00-04:00,WSBC,neutral
1368295.0,"Stocks Which Set New 52-Week High Yesterday, August 21st",2018-08-22 09:06:00-04:00,WSBC,neutral
