Unnamed: 0,title,date,stock,sentiment
1396342.0,Financials Sector Could Be In Focus Today As Treasury Yields Tick Higher,2020-06-02 10:44:00-04:00,Y,positive
1396343.0,"Deutsche Bank Maintains Buy on Alleghany, Lowers Price Target to $700",2020-05-06 07:49:00-04:00,Y,negative
1396344.0,"Alleghany Q1 Adj. EPS $4.990 Down From $9.660 YoY, Book Value $549.07/Share",2020-05-05 16:53:00-04:00,Y,positive
1396345.0,"JMP Securities Maintains Market Outperform on Alleghany, Lowers Price Target to $850",2020-04-16 11:08:00-04:00,Y,positive
1396346.0,"Deutsche Bank Maintains Buy on Alleghany, Lowers Price Target to $800",2020-04-14 08:13:00-04:00,Y,negative
1396347.0,Mid-Morning Market Update: Markets Open Higher; RPM International Profit Tops Estimates,2020-04-08 10:16:00-04:00,Y,positive
1396348.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,Y,negative
1396349.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,Y,negative
1396350.0,"Deutsche Bank Maintains Buy on Alleghany, Raises Price Target to $915",2020-02-20 08:42:00-05:00,Y,neutral
1396351.0,"JMP Securities Maintains Market Outperform on Alleghany, Raises Price Target to $900",2020-02-20 07:56:00-05:00,Y,positive
1396352.0,Alleghany Declares $15/Share Special Dividend,2020-02-19 17:18:00-05:00,Y,positive
1396353.0,Alleghany Q4 EPS $(6.09) Does Not Compare To $8.46 Estimate,2020-02-19 17:17:00-05:00,Y,neutral
1396354.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-19 10:32:00-05:00,Y,neutral
1396355.0,"Earnings Scheduled For February 19, 2020",2020-02-19 04:01:00-05:00,Y,neutral
1396356.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-06 10:39:00-05:00,Y,neutral
1396357.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-05 10:16:00-05:00,Y,neutral
1396358.0,"Alleghany Q3 EPS $6.27 Beats $5.31 Estimate, Sales $1.414B Beat $1.33B Estimate",2019-11-05 16:55:00-05:00,Y,neutral
1396359.0,"Earnings Scheduled For November 5, 2019",2019-11-05 04:14:00-05:00,Y,neutral
1396360.0,Stocks That Hit 52-Week Highs On Tuesday,2019-10-01 14:25:00-04:00,Y,neutral
1396361.0,"JMP Securities Maintains Outperform on Alleghany, Raises Price Target to $875",2019-10-01 07:50:00-04:00,Y,positive
1396362.0,"Jakks Pacific Shares Spike, Bloomberg Reporting Co. To Receive Offer From Alleghany",2019-09-05 15:25:00-04:00,Y,positive
1396363.0,Stocks That Hit 52-Week Highs On Thursday,2019-09-05 12:29:00-04:00,Y,neutral
1396364.0,"Deutsche Bank Upgrades Alleghany to Buy, Raises Price Target to $900",2019-09-05 06:50:00-04:00,Y,neutral
1396365.0,Hearing Trump Mull Steps To Boost Ethanol Calm Farm-State Uproar,2019-08-20 14:00:00-04:00,Y,positive
1396366.0,Stocks That Hit 52-Week Highs On Monday,2019-08-19 10:53:00-04:00,Y,neutral
1396367.0,Stocks That Set New 52-Week Highs Thursday,2019-08-08 12:19:00-04:00,Y,neutral
1396368.0,Alleghany Q2 EPS $12.4 Up From $9.78 YoY,2019-08-06 17:45:00-04:00,Y,neutral
1396369.0,"Alleghany Acquires Coastal Industrial Distributors, Terms Not Disclosed",2019-06-24 08:37:00-04:00,Y,neutral
1396370.0,"Benzinga's Top Upgrades, Downgrades For May 24, 2019",2019-05-24 09:12:00-04:00,Y,positive
1396371.0,Deutsche Bank Initiates Coverage On Alleghany Corporation Common Stock with Hold Rating,2019-05-24 07:54:00-04:00,Y,neutral
1396372.0,"JMP Securities Maintains Market Outperform on Alleghany Corporation Common Stock, Raises Price Target to $700",2019-05-08 07:59:00-04:00,Y,positive
1396373.0,"Alleghany Q1 EPS $9.66 Beats $9.51 Estimate, Sales $1.39B Beat $1.31B Estimate",2019-05-07 16:41:00-04:00,Y,neutral
1396374.0,"Earnings Scheduled For May 7, 2019",2019-05-07 05:03:00-04:00,Y,neutral
1396375.0,"JMP Securities Maintains Market Outperform on Alleghany, Raises Price Target to $690",2019-02-21 08:03:00-05:00,Y,positive
1396376.0,"Alleghany Q4 EPS $(4.35) Beats $(5.31) Estimate, Sales $1.22B",2019-02-20 17:36:00-05:00,Y,neutral
1396377.0,"Earnings Scheduled For February 20, 2019",2019-02-20 04:04:00-05:00,Y,neutral
1396378.0,"Alleghany Capital Reports Investment In CEI Equipment Co. By Kentucky Trailer, No Terms Disclosed",2018-12-20 09:04:00-05:00,Y,negative
1396379.0,"Alleghany Corporation Q3 EPS $19.07 Up From $(20.90) YoY, Sales $2.177B Up From $1.668B YoY",2018-11-01 16:48:00-04:00,Y,neutral
1396380.0,"Earnings Scheduled For November 1, 2018",2018-11-01 04:15:00-04:00,Y,neutral
1396381.0,"Stocks Which Set New 52-Week High Yesterday, October 1st",2018-10-02 09:20:00-04:00,Y,neutral
1396382.0,"Alleghany Capital Reports Purchase Of Majority Interest In Concord Hospitality Enterprises Co., No Terms Disclosed",2018-10-01 16:33:00-04:00,Y,positive
1396383.0,"Stocks Which Set New 52-Week High Yesterday, September 25th",2018-09-26 11:53:00-04:00,Y,neutral
1396384.0,"Stocks Which Set New 52-Week High Yesterday, September 24th",2018-09-25 09:06:00-04:00,Y,neutral
1396385.0,"Stocks Which Set New 52-Week High Friday, September 21",2018-09-24 09:43:00-04:00,Y,neutral
1396386.0,"Stocks Which Set New 52-Week High Yesterday, September 20th",2018-09-21 08:16:00-04:00,Y,neutral
1396387.0,"TransRe Secures Exclusive Renewal Rights, Adds U.S. Treaty Team from Maiden Re",2018-08-30 03:48:00-04:00,Y,positive
1396388.0,"Stocks Which Set New 52-Week High Yesterday, August 6th",2018-08-07 11:27:00-04:00,Y,neutral
1396389.0,"Stocks Which Set New 52-Week Highs Friday, August 3rd",2018-08-06 13:02:00-04:00,Y,neutral
1396390.0,"Alleghany Q2 Adj. EPS $9.78 Beats $8.41 Estimate, Sales $1.898B Beat $1.31B Estimate",2018-08-02 16:43:00-04:00,Y,neutral
1396391.0,"Alleghany Q1 EPS $11.04, Made $1.585B Sales",2018-05-03 16:52:00-04:00,Y,neutral
1396392.0,"Alleghany Reports Q4 EPS $9.96, Operating EPS $9.89 vs $702 In Same Qtr. Last Year",2018-02-21 16:58:00-05:00,Y,neutral
1396393.0,Alleghany Declares $10/Share Special Dividend,2018-02-21 16:57:00-05:00,Y,positive
1396394.0,Alleghany Q4 Earnings Preview,2018-02-21 11:17:00-05:00,Y,neutral
1396395.0,"Earnings Scheduled For February 21, 2018",2018-02-21 04:00:00-05:00,Y,neutral
1396396.0,"Alleghany Capital Announces Subsidiary's Acquisition Of Zag Toys, No Terms Disclosed",2018-02-16 16:30:00-05:00,Y,negative
1396397.0,"Alleghany Reports Q3 Operating EPS $(22.03) vs $(9.44) In Same Qtr. Last Year, Book Value $532.40/Share",2017-11-02 16:40:00-04:00,Y,positive
1396398.0,Alleghany Corporation Announces Sale Of Pacific Compensation Insurance Company for $150M Cash,2017-09-13 07:01:00-04:00,Y,neutral
1396399.0,"JMP Securities Upgrades Alleghany to Market Outperform, Announces $625.00 Price Target",2017-09-11 08:14:00-04:00,Y,positive
1396400.0,Alleghany Reports Q2 Operating EPS $6.37 May Not Compare To $7.97 Est.,2017-08-03 16:40:00-04:00,Y,neutral
1396401.0,"Closing In On The $1,000 Psychological Barrier",2017-07-08 08:52:00-04:00,Y,negative
1396403.0,"A Look Back At When These 5 Stocks Hit $1,000 And Which Issues Could Be There Soon",2017-06-08 14:50:00-04:00,Y,neutral
1396404.0,"Alleghany Reports Q4 Operating EPS $7.02 vs $5.92 Est., Net Premiums Written $1.199B vs $1.28B Est.",2017-02-22 16:52:00-05:00,Y,neutral
1396405.0,"Earnings Scheduled For February 22, 2017",2017-02-22 04:35:00-05:00,Y,neutral
1396406.0,"Alleghany Corporation Announces Preliminary Hurricane Matthew Loss Estimate  To Be Less Than $75M, Will Be Reflected In Q4 2016",2016-11-17 08:32:00-05:00,Y,negative
1396407.0,"Alleghany Reports Q3 EPS $10.09 vs. Est. $7.74, Rev. $1.236B vs. Est. $1.16B",2016-11-01 16:41:00-04:00,Y,neutral
1396408.0,"Integrated Mining Stocks One of the Strongest Performing Groups in Energy Sector Today: Gold Resource Up 5.2%, Freeport-McMoRan Up 4.3%, Allegheny 3.9%, Fortuna 3.3%, Avino 3.1%, McEwen Mining 2.8%",2016-10-19 13:49:00-04:00,Y,positive
1396409.0,"Alleghany Capital Corporation Announces Acquisition Of Diamond Technology Innovations By Bourn & Koch, Terms Not Disclose",2016-10-05 08:30:00-04:00,Y,positive
1396410.0,"Alleghany Reports Q2 EPS $4.99, Rev $1.582B vs $1.16B Est",2016-08-02 16:41:00-04:00,Y,neutral
1396411.0,"8-K from Alleghany Corp. Shows Q2 Operating EPS $2.96, GAAP EPS $4.99",2016-08-02 16:39:00-04:00,Y,neutral
1396412.0,"Alleghany Capital Announces Acquisition Of First Act, No Terms",2016-07-06 16:33:00-04:00,Y,negative
1396413.0,"Barron's Picks And Pans: Regeneron, Axalta, Alleghany And More",2016-05-14 18:24:00-04:00,Y,neutral
1396414.0,Alleghany Corp. Reports Q1 EPS $9.96 vs $7.58 Est.,2016-05-05 16:42:00-04:00,Y,neutral
1396415.0,"Alleghany Capital Reports Follow-On Investment in Jazwares, No Terms Disclsoed",2016-04-18 16:31:00-04:00,Y,negative
1396416.0,Alleghany Reports Q3 Operating EPS $7.03 vs $6.41 Est.,2015-11-03 16:38:00-05:00,Y,neutral
1396417.0,Eventual Rate Hike Could Keep Insurance Stocks Sizzling,2015-07-31 11:38:00-04:00,Y,neutral
1396418.0,"Alleghany Considering Sale of TransRe Valued at ~$6,5B, According to Sources -Reuters",2015-05-20 13:02:00-04:00,Y,positive
1396419.0,Alleghany Shares Quiet as Hearing Co. Received Interest for TransAtlantic Holdings,2015-05-20 12:35:00-04:00,Y,positive
1396420.0,"Earnings Scheduled For February 24, 2015",2015-02-24 04:57:00-05:00,Y,neutral
1396421.0,Alleghany Capital Corporation Acquires Teapot Dome Oilfield For $45.2M,2015-01-30 12:10:00-05:00,Y,neutral
1396422.0,Alleghany Corporation Reports Q3 EPS of $11.40 Which May Not Compare $7.60 Est,2014-11-03 16:04:00-05:00,Y,neutral
1396423.0,Y Earnings Implied Volatility Is ~13% Expecting ±$4.25 Move,2014-11-03 14:55:00-05:00,Y,neutral
1396424.0,"Notable Earnings After The Close: AIG, HLF , MRO, Y, TXRH",2014-11-03 14:42:00-05:00,Y,neutral
1396425.0,"Earnings Scheduled For November 3, 2014",2014-11-03 05:18:00-05:00,Y,neutral
1396426.0,"A.M. Best Assigns Debt Rating Of ""bbb+"" to Alleghany's New Senior Unsecured Notes ",2014-09-04 11:02:00-04:00,Y,neutral
1396427.0,Filing from Alleghany Corp. Shows Registration for Automatic Debt Securities Shelf,2014-08-29 16:08:00-04:00,Y,negative
1396428.0,Alleghany Capital Rreports Investment in Jazwares,2014-08-04 08:02:00-04:00,Y,neutral
