Unnamed: 0,title,date,stock,sentiment
1404463.0,JOYY shares are trading lower after the company reported Q1 results.,2020-05-21 09:22:00-04:00,YY,neutral
1404464.0,JOYY Sees Q2 Net Sales RMB5B-RMB5.15B,2020-05-20 18:01:00-04:00,YY,neutral
1404465.0,"JOYY Q1 Adj. EPS $0.68, Sales $1.01B",2020-05-20 18:00:00-04:00,YY,neutral
1404466.0,Shares of several communication companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 10:26:00-04:00,YY,negative
1404467.0,JOYY Sees Q1 Sales RMB6.75B-RMB6.85B,2020-03-16 18:05:00-04:00,YY,neutral
1404468.0,"YY Q4 EPS $0.27, Sales $1.0943B",2020-03-16 18:04:00-04:00,YY,neutral
1404469.0,"Nomura Maintains Buy on YY, Raises Price Target to $76",2019-11-13 09:50:00-05:00,YY,neutral
1404470.0,YY Sees Q4 Sales RMB7.32B-RMB7.52B,2019-11-12 18:04:00-05:00,YY,neutral
1404471.0,"YY Q3 Adj. EPS $0.9 Beats $0.8 Estimate, Sales $962.9M Beat $944.32M Estimate",2019-11-12 18:00:00-05:00,YY,neutral
1404472.0,Shares of several Chinese companies are trading higher after the U.S. Trade Representative said the U.S. and China are close to finalizing some parts of a phase one trade deal.,2019-10-25 11:38:00-04:00,YY,positive
1404473.0,Shares of several Chinese companies are trading higher as investors are optimistic that a trade deal with China can potentially be reached after President Trump said a Chinese delegation is set to come to the U.S. next week for continued trade talks.,2019-10-03 13:53:00-04:00,YY,positive
1404474.0,"UPDATE: UBS Upgrades YY Buy, Lowers Tgt From $90 To $89.50 As Firm Believes 'the market is too pessimistic on: 1) YY Live, the showroom live streaming business in China; and 2) Bigo, the international live streaming, short-video and social-networking' Biz",2019-09-20 12:44:00-04:00,YY,negative
1404475.0,UBS Upgrades YY to Buy,2019-09-20 09:20:00-04:00,YY,neutral
1404476.0,Shares of several Chinese companies are trading lower after the Yuan fell to the lowest level in a decade.,2019-08-22 13:56:00-04:00,YY,negative
1404477.0,"Bank of America Reiterates Buy on YY, Lowers Price Target to $83",2019-08-20 07:52:00-04:00,YY,negative
1404478.0,"YY Late Tuesday Reported Q2 EPS $0.75 Misses $1.11 Estimate, Sales $917.006M Beat $878.84M Estimate",2019-08-14 09:21:00-04:00,YY,negative
1404479.0,YY Inc shares are trading lower after the company reported worse-than-expected Q2 EPS results.,2019-08-14 07:35:00-04:00,YY,neutral
1404480.0,YY Sees Q3 Net Sales RMB6.57B-RMB6.77B,2019-08-13 18:02:00-04:00,YY,neutral
1404481.0,"YY Q2 Adj. EPS $0.75 Misses $1.11 Estimate, Sales $917M Beat $878.84M Estimate",2019-08-13 18:01:00-04:00,YY,negative
1404482.0,"Shares of many China-based US-traded stocks trading higher, rebounding following a nearly 7% decline in the Chinese stock market so far in August.",2019-08-06 13:16:00-04:00,YY,positive
1404483.0,"Jefferies Initiates Coverage On YY with Buy Rating, Announces $76.1 Price Target",2019-08-05 08:45:00-04:00,YY,neutral
1404484.0,YY shares are trading lower after the company announced a proposed offering of $850 million of convertible senior notes.,2019-06-19 08:16:00-04:00,YY,neutral
1404485.0,"Nomura Upgrades YY to Buy, Lowers Price Target to $77 Price Target",2019-05-30 08:51:00-04:00,YY,negative
1404486.0,"YY Late Tues. Reported Q1 EPS $1.38, Inline, Sales $705.3M Beats 603.78M Estimate; Sees Q2 Sales RMB6.0B-RMB6.2B",2019-05-29 12:20:00-04:00,YY,neutral
1404487.0,YY shares are trading higher after the company reported better-than-expected Q1 sales.,2019-05-29 06:43:00-04:00,YY,positive
1404488.0,Shares of several Chinese companies are trading lower after the Chinese central bank signaled it may pause the easing of reserve requirements.,2019-04-24 14:46:00-04:00,YY,positive
1404489.0,"YY Shares Rebound From Session Low, Hearing JP Morgan Upgraded Stock Midday To Overweight",2019-03-06 11:39:00-05:00,YY,neutral
1404490.0,YY shares are trading higher after the company reported better-than-expected Q4 EPS and sales estimates.,2019-03-05 10:57:00-05:00,YY,positive
1404491.0,YY Sees Q1 Sales RMB4.01B-RMB4.16B,2019-03-04 17:31:00-05:00,YY,neutral
1404492.0,"YY Q4 Adj. Earnings $1.87/ADS Beats $1.84 Estimate, Sales $675M Beat $660.19M Estimate",2019-03-04 17:31:00-05:00,YY,neutral
1404493.0,Nomura Downgrades YY to Neutral,2019-01-29 10:11:00-05:00,YY,neutral
1404494.0,Chinese stock shares are trading lower on news that China is in a manufacturing downturn and is slowing down globally and domestically.,2019-01-02 09:47:00-05:00,YY,neutral
1404495.0,"Goldman Sachs Upgrades YY to Buy, Lowers Price Target to $108",2018-12-06 06:39:00-05:00,YY,negative
1404496.0,JP Morgan Downgrades YY to Neutral,2018-11-28 06:53:00-05:00,YY,positive
1404497.0,YY Sees Q4 Sales RMB4.39B-4-RMB4.54B,2018-11-12 17:33:00-05:00,YY,neutral
1404498.0,"YY Inc. Q3 EPS $1.76 Beats $1.67 Estimate, Sales $597M Beat $576.86M Estimate",2018-11-12 17:32:00-05:00,YY,neutral
1404499.0,"Chinese Internet Stocks Seeing Notable Strength Today; Momo +4.8%, Weibo +6.8%, YY +4.4%, SINA +2.8%, IQiyi +7.4%, 58.Com +9.4%",2018-09-13 11:57:00-04:00,YY,positive
1404500.0,"Stocks Which Set New 52-Week Low Yesterday, September 11th",2018-09-12 15:29:00-04:00,YY,negative
1404501.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Tuesday, Aug. 14th",2018-08-14 14:21:00-04:00,YY,positive
1404502.0,"YY shares are down 14.5% despite beating Q2 earnings estimates; The company holds a stake in Huya, which reported lower-than-expected Q3 guidance and is down 13.3%",2018-08-14 12:01:00-04:00,YY,positive
1404503.0,YY shares are down 7% despite beating Q2 earnings estimates.,2018-08-14 09:13:00-04:00,YY,positive
1404504.0,"YY Sees Q3 Sales RMB3.89B-RMB4.02B, Representing 25.8%-30% YoY Growth",2018-08-13 18:05:00-04:00,YY,positive
